bin	marker_lineage	genomes	markers	marker_sets	completeness	contamination	strain_heterogeneity	genome_size	ambiguous_bases	scaffolds	contigs	N50_scaffolds	N50_contigs	mean_scaffold_length	mean_contig_length	longest_scaffold	longest_contig	gc	gc_std_scaffolds	coding_density	translation_table	predicted_genes	0	1	2	3	4	5+
SPAdes-MaxBin2-S15.054	o__Rhodospirillales (UID3754)	63	336	201	83.84	25.32	5.50	5564587	2375	975	1102	13828	11814	5707	5047	117521	85512	68.8	1.36	92.81	11	5952	61	188	76	11	0	0
SPAdes-MaxBin2-S15.055	k__Bacteria (UID203)	5449	103	58	65.14	38.97	48.39	3430652	1999	1172	1281	3626	3456	2927	2676	60571	60571	70.6	1.35	90.70	11	4159	57	21	22	3	0	0
SPAdes-MaxBin2-S15.058	k__Bacteria (UID203)	5449	103	57	91.23	49.22	17.95	7205455	5957	2830	3234	2996	2701	2546	2226	43175	38541	58.3	1.87	86.88	11	9580	6	41	25	21	8	2
SPAdes-MaxBin2-S15.061	k__Bacteria (UID203)	5449	104	58	83.10	56.03	9.76	11030501	6438	2430	2700	9344	8302	4539	4082	106336	75634	64.3	2.13	89.73	11	11776	47	27	26	3	1	0
SPAdes-MaxBin2-S15.062	k__Bacteria (UID203)	5449	104	58	23.84	6.13	22.73	5118786	3942	2188	2460	2555	2382	2339	2079	33667	33667	65.3	1.76	86.37	11	6836	67	21	13	3	0	0
SPAdes-MaxBin2-S15.064	f__Moraxellaceae (UID4680)	86	689	365	84.43	13.31	10.78	5431080	5135	2750	3112	2123	1984	1974	1743	16319	16319	40.3	3.25	79.56	11	7281	103	506	69	11	0	0
SPAdes-MaxBin2-S15.065	k__Bacteria (UID203)	5449	104	58	76.24	41.88	1.69	5045330	4154	2877	3236	1761	1679	1753	1557	18255	18255	65.9	2.10	89.90	11	7226	20	37	41	6	0	0
SPAdes-MaxBin2-S17.001	p__Firmicutes (UID239)	1324	173	101	89.11	0.99	0.00	1645291	1900	49	68	117137	62513	33577	24167	585447	585447	64.2	6.02	90.94	11	1670	13	159	1	0	0	0
SPAdes-MaxBin2-S17.004	k__Bacteria (UID203)	5449	104	58	96.55	10.34	0.00	2778885	1120	182	208	35539	32559	15268	13354	93920	93920	49.5	4.63	85.14	11	2733	2	73	24	5	0	0
SPAdes-MaxBin2-S17.005	f__Xanthomonadaceae (UID4214)	55	659	290	98.55	3.87	0.00	2990120	600	86	92	154338	117705	34768	32494	336871	332252	67.9	6.71	90.17	11	2732	6	629	24	0	0	0
SPAdes-MaxBin2-S17.006	k__Bacteria (UID3187)	2258	188	117	69.58	0.00	0.00	2893680	7450	706	785	5788	4795	4098	3676	52000	52000	55.8	3.44	88.70	11	2846	53	135	0	0	0	0
SPAdes-MaxBin2-S17.008	p__Proteobacteria (UID3880)	1495	261	164	93.14	2.34	14.29	2378762	1010	147	158	105726	91605	16182	15049	274820	183115	62.0	4.19	90.35	11	2453	17	237	7	0	0	0
SPAdes-MaxBin2-S17.009	root (UID1)	5656	56	24	8.33	0.00	0.00	807050	1560	227	248	4878	4043	3555	3247	31211	31211	54.9	5.83	86.91	11	900	54	2	0	0	0	0
SPAdes-MaxBin2-S17.011	k__Bacteria (UID203)	5449	104	58	20.69	0.00	0.00	1184445	1200	78	90	95141	50531	15185	13147	231086	101788	70.2	3.62	90.98	11	1181	89	15	0	0	0	0
SPAdes-MaxBin2-S17.013	p__Euryarchaeota (UID3)	148	187	124	99.55	0.81	0.00	2158900	705	170	186	67889	52605	12699	11603	177892	161493	45.5	5.05	88.88	11	2411	2	184	1	0	0	0
SPAdes-MaxBin2-S17.014	c__Gammaproteobacteria (UID4202)	67	481	276	84.56	5.91	16.67	4009562	2430	656	683	12608	12076	6112	5866	73433	73433	67.5	2.90	90.37	11	4005	89	364	27	1	0	0
SPAdes-MaxBin2-S17.015	o__Actinomycetales (UID1696)	455	315	190	97.10	3.68	0.00	3758342	2478	216	243	46320	43715	17399	15456	191142	191142	72.7	5.56	91.30	11	3770	11	295	9	0	0	0
SPAdes-MaxBin2-S17.017	k__Bacteria (UID203)	5449	104	58	96.55	29.09	6.15	5224297	1400	346	360	65271	65271	15099	14508	475685	475685	67.6	4.76	88.16	11	4800	2	51	44	7	0	0
SPAdes-MaxBin2-S17.018	k__Bacteria (UID1452)	924	161	108	97.69	0.00	0.00	2456893	1100	90	101	80059	59867	27298	24314	180674	180674	70.4	2.11	89.69	11	2388	3	158	0	0	0	0
SPAdes-MaxBin2-S17.019	p__Euryarchaeota (UID3)	148	188	125	96.67	2.40	0.00	2037281	4917	137	187	27687	20057	14870	10868	134164	67091	71.5	2.39	89.40	11	1998	6	179	3	0	0	0
SPAdes-MaxBin2-S17.020	k__Bacteria (UID1452)	924	151	101	97.93	2.97	0.00	4008149	18210	336	519	20291	11961	11929	7687	88029	58014	66.1	1.53	81.41	11	3433	3	145	3	0	0	0
SPAdes-MaxBin2-S17.023	k__Bacteria (UID203)	5449	104	58	17.24	9.72	38.46	2785545	940	541	554	10441	9595	5148	5026	83877	83877	66.0	2.25	87.14	11	3085	60	20	23	1	0	0
SPAdes-MaxBin2-S17.024	k__Bacteria (UID3187)	2258	187	116	76.11	1.72	0.00	4535229	10060	703	809	13371	10977	6451	5593	72266	51112	57.1	2.43	87.95	11	4358	64	121	2	0	0	0
SPAdes-MaxBin2-S17.025	p__Euryarchaeota (UID3)	148	187	124	80.38	0.00	0.00	1422418	5830	201	262	11370	8326	7076	5406	35712	35712	45.4	2.69	87.48	11	1588	36	151	0	0	0	0
SPAdes-MaxBin2-S17.026	k__Bacteria (UID3187)	2258	188	117	100.00	0.00	0.00	2620391	310	80	84	102243	102243	32754	31191	216229	216229	58.9	2.61	89.67	11	2289	0	188	0	0	0	0
SPAdes-MaxBin2-S17.028	k__Bacteria (UID1453)	901	171	117	98.29	0.43	0.00	1970422	620	55	63	128932	102068	35825	31266	281067	258767	63.4	2.87	91.98	11	1972	2	168	1	0	0	0
SPAdes-MaxBin2-S17.029	k__Bacteria (UID1453)	901	171	117	98.04	3.85	0.00	3513939	7860	229	313	45157	27483	15344	11201	185913	169433	65.5	2.21	90.65	11	3484	4	161	6	0	0	0
SPAdes-MaxBin2-S17.032	p__Euryarchaeota (UID3)	148	187	124	76.94	6.29	0.00	2343228	2820	558	636	6119	4918	4199	3679	58579	58579	44.6	2.71	87.43	11	2841	56	120	11	0	0	0
SPAdes-MaxBin2-S17.033	k__Bacteria (UID203)	5449	104	58	43.97	8.62	100.00	2999134	1375	537	554	8868	8823	5584	5411	48196	48196	71.1	2.05	89.27	11	3142	76	23	5	0	0	0
SPAdes-MaxBin2-S17.035	k__Bacteria (UID203)	5449	103	57	10.35	5.82	0.00	1650299	1379	378	402	8300	7756	4365	4101	46426	46426	67.0	1.77	85.33	11	1825	81	8	5	9	0	0
SPAdes-MaxBin2-S17.036	k__Bacteria (UID203)	5449	104	58	47.55	15.66	19.23	3001983	3125	460	499	14163	12792	6526	6009	102283	102283	64.6	1.54	85.43	11	3218	46	34	23	1	0	0
SPAdes-MaxBin2-S17.037	k__Bacteria (UID203)	5449	103	57	64.04	25.44	16.67	2773845	840	160	172	76090	76090	17336	16122	399706	399706	57.7	2.30	89.96	11	2771	61	24	18	0	0	0
SPAdes-MaxBin2-S17.038	p__Proteobacteria (UID3214)	2231	190	119	86.02	34.00	39.68	5127597	942	337	348	42845	40893	15215	14731	173143	173143	68.4	1.40	90.43	11	4756	30	105	51	4	0	0
SPAdes-MaxBin2-S17.039	k__Bacteria (UID1453)	901	171	117	96.58	3.85	0.00	4202654	3340	186	223	62942	57654	22594	18831	213691	204294	71.8	1.57	89.85	11	4165	13	153	5	0	0	0
SPAdes-MaxBin2-S17.040	k__Bacteria (UID1452)	924	160	109	91.74	5.50	0.00	2972194	8464	369	463	35136	19140	8054	6401	130165	88347	71.6	1.65	90.57	11	3081	23	130	7	0	0	0
SPAdes-MaxBin2-S17.041	k__Bacteria (UID2565)	2921	141	86	98.38	2.33	0.00	6628745	6910	374	444	31940	25843	17723	14914	104884	104884	58.0	2.34	83.94	11	4961	3	136	2	0	0	0
SPAdes-MaxBin2-S17.042	k__Archaea (UID2)	207	149	107	99.46	13.43	0.00	2792661	851	283	297	26693	25838	9868	9400	93538	93538	48.3	2.97	87.65	11	3009	2	121	26	0	0	0
SPAdes-MaxBin2-S17.043	k__Bacteria (UID203)	5449	103	57	66.32	25.65	26.32	2041735	1630	241	260	27021	27021	8471	7846	142100	138891	53.9	2.51	89.20	11	2240	24	41	38	0	0	0
SPAdes-MaxBin2-S17.047	p__Euryarchaeota (UID3)	148	188	125	96.80	5.60	0.00	1842174	200	85	87	71850	71850	21672	21172	235567	235567	70.0	2.10	89.61	11	1848	6	176	5	1	0	0
SPAdes-MaxBin2-S17.048	k__Bacteria (UID3187)	2258	190	119	96.64	5.25	0.00	4234142	2370	195	225	76038	65430	21713	18807	291046	252946	62.6	1.86	87.92	11	4167	4	177	9	0	0	0
SPAdes-MaxBin2-S17.050	k__Bacteria (UID203)	5449	104	58	5.80	0.00	0.00	3045010	1916	432	456	16552	14919	7048	6673	118773	118773	68.1	1.59	85.35	11	3392	97	7	0	0	0	0
SPAdes-MaxBin2-S17.051	k__Bacteria (UID203)	5449	104	58	4.89	0.00	0.00	1827889	410	466	480	6992	6749	3922	3807	47219	47219	62.7	2.01	86.23	11	2097	100	4	0	0	0	0
SPAdes-MaxBin2-S17.054	k__Bacteria (UID1453)	901	171	117	97.44	7.55	16.67	3359362	820	171	181	48421	44335	19645	18555	302166	302166	73.7	1.52	90.68	11	3273	3	158	9	1	0	0
SPAdes-MaxBin2-S17.055	k__Bacteria (UID3187)	2258	188	117	99.00	3.42	25.00	2728519	320	120	125	152141	148855	22737	21825	322473	322473	60.2	2.23	90.03	11	2413	4	180	4	0	0	0
SPAdes-MaxBin2-S17.057	p__Proteobacteria (UID3880)	1495	261	164	97.56	37.26	1.94	4368543	2874	672	737	23567	21598	6500	5923	201773	198623	64.9	1.35	89.85	11	4653	6	181	64	7	3	0
SPAdes-MaxBin2-S17.060	p__Euryarchaeota (UID3)	148	188	125	99.01	1.60	0.00	2971970	420	186	192	78362	78362	15978	15476	266334	266334	50.4	2.14	87.39	11	3094	3	183	2	0	0	0
SPAdes-MaxBin2-S17.062	k__Bacteria (UID203)	5449	104	58	65.52	23.28	0.00	4743242	4600	1467	1557	4599	4352	3233	3043	44346	44346	69.5	2.06	90.79	11	5797	61	32	9	1	1	0
SPAdes-MaxBin2-S17.063	k__Bacteria (UID203)	5449	104	58	93.10	17.01	13.95	4680962	1240	221	237	64655	61614	21180	19745	198174	198174	71.1	1.42	91.33	11	4520	5	62	34	3	0	0
SPAdes-MaxBin2-S17.067	k__Bacteria (UID1452)	924	151	101	95.15	10.21	9.52	6171469	8125	1018	1137	13274	11274	6062	5420	77538	77538	62.2	1.54	87.92	11	6827	7	127	15	2	0	0
SPAdes-MaxBin2-S17.068	k__Bacteria (UID3187)	2258	190	119	27.59	3.53	0.00	1348627	1440	617	714	1945	1872	2185	1886	123193	123193	65.0	1.64	88.13	11	1845	133	52	5	0	0	0
SPAdes-MaxBin2-S17.073	k__Bacteria (UID3187)	2258	187	116	93.06	9.80	12.00	3582252	2164	222	248	61017	57051	16136	14435	279115	279115	61.7	1.36	88.94	11	3234	11	153	22	1	0	0
SPAdes-MaxBin2-S17.076	root (UID1)	5656	56	24	95.83	311.16	15.53	9884826	4609	1493	1648	30587	28939	6620	5995	347179	347179	46.1	3.25	87.03	11	11148	1	1	1	1	28	24
SPAdes-MaxBin2-S17.078	k__Bacteria (UID1453)	901	171	117	61.14	21.43	50.00	4059185	3647	594	650	15870	13546	6833	6239	139952	130045	70.2	1.05	91.45	11	4304	68	68	31	3	0	1
SPAdes-MaxBin2-S17.079	o__Rhodospirillales (UID3754)	63	336	201	98.34	9.70	3.70	4375829	583	402	425	39465	39465	10885	10294	129726	124841	71.0	1.97	91.13	11	4418	5	306	24	1	0	0
SPAdes-MaxBin2-S17.081	k__Bacteria (UID203)	5449	104	58	58.66	25.00	47.62	3827350	3485	717	793	9992	9172	5338	4822	56461	53118	72.1	0.92	92.56	11	4140	57	30	15	2	0	0
SPAdes-MaxBin2-S17.083	k__Bacteria (UID203)	5449	104	58	41.09	12.93	30.00	2749739	1554	547	596	8986	7892	5026	4611	52744	52744	73.9	1.22	93.66	11	3021	74	22	7	1	0	0
SPAdes-MaxBin2-S17.084	p__Actinobacteria (UID1454)	732	199	116	85.49	3.45	20.00	2125370	3540	378	440	8051	7222	5622	4822	37849	33132	72.3	1.48	93.01	11	2428	42	152	5	0	0	0
SPAdes-MaxBin2-S17.086	o__Actinomycetales (UID1696)	455	311	187	82.39	14.39	7.32	6657477	7366	1041	1160	11555	10132	6395	5732	46125	45674	73.5	1.73	88.85	11	6951	76	202	29	4	0	0
SPAdes-MaxBin2-S17.087	k__Bacteria (UID203)	5449	104	58	16.19	5.96	9.09	6404940	4890	1765	1875	5500	5103	3628	3413	65234	65234	65.4	1.34	84.84	11	7903	79	19	5	0	1	0
SPAdes-MaxBin2-S17.088	k__Bacteria (UID3187)	2258	187	116	92.03	2.49	66.67	4110753	5106	225	276	72328	41468	18270	14875	206065	182040	61.2	1.35	87.76	11	3431	10	169	6	2	0	0
SPAdes-MaxBin2-S17.089	p__Actinobacteria (UID1454)	732	199	116	92.73	7.28	30.00	2547480	930	356	399	11431	10637	7155	6382	39511	37090	70.8	1.54	94.82	11	2987	23	160	14	2	0	0
SPAdes-MaxBin2-S17.090	k__Bacteria (UID3187)	2258	187	116	97.99	5.17	11.11	5693208	5515	470	551	23429	20832	12113	10322	91032	86869	61.0	1.49	87.11	11	5030	9	169	9	0	0	0
SPAdes-MaxBin2-S17.093	k__Bacteria (UID1452)	924	151	101	71.98	5.45	16.67	4807098	3937	1785	2080	3156	2830	2693	2309	17381	16126	57.6	2.18	87.25	11	5333	54	91	6	0	0	0
SPAdes-MaxBin2-S17.096	k__Bacteria (UID1453)	901	171	117	78.52	3.51	14.29	2964663	2986	1167	1404	2916	2593	2540	2109	51882	51882	46.4	1.99	86.27	11	3742	32	132	7	0	0	0
SPAdes-MaxBin2-S17.097	o__Rhodospirillales (UID3754)	63	336	201	97.50	9.63	12.50	5739356	1961	699	763	47175	42405	8210	7519	211382	211382	68.2	1.56	89.67	11	6007	7	301	26	2	0	0
SPAdes-MaxBin2-S17.102	o__Rhodospirillales (UID3754)	63	336	201	27.85	0.00	0.00	1539802	2931	174	210	20269	15372	8849	7318	115092	74870	69.6	1.19	91.19	11	1600	209	127	0	0	0	0
SPAdes-MaxBin2-S17.105	k__Bacteria (UID203)	5449	104	58	77.65	38.62	38.71	4285414	3126	1033	1095	6957	6630	4148	3910	40686	35558	58.3	1.47	89.47	11	4441	46	37	16	5	0	0
SPAdes-MaxBin2-S17.106	k__Bacteria (UID203)	5449	104	58	93.10	39.17	1.52	4327369	2409	998	1108	6688	6147	4336	3903	161268	134000	69.3	1.16	87.97	11	4953	4	59	30	10	1	0
SPAdes-MaxBin2-S17.108	k__Bacteria (UID3187)	2258	188	117	24.79	6.77	12.50	4451298	2465	1206	1313	5202	4849	3690	3388	37226	37226	57.8	1.23	86.87	11	4952	128	40	18	2	0	0
SPAdes-MaxBin2-S17.109	o__Actinomycetales (UID1696)	455	311	187	21.77	4.51	16.67	3859320	3649	1239	1430	4068	3618	3114	2696	141488	93000	69.6	1.23	86.48	11	4726	237	62	12	0	0	0
SPAdes-MaxBin2-S17.111	p__Actinobacteria (UID1454)	732	199	116	74.54	55.24	2.54	8806242	8784	3094	3551	3327	3017	2846	2477	102193	68236	72.6	1.39	89.14	11	10574	62	77	40	14	6	0
SPAdes-MaxBin2-S17.112	k__Bacteria (UID2565)	2921	141	86	98.16	0.00	0.00	6580238	12300	930	1080	12836	10841	7075	6081	56882	42621	60.8	2.28	85.88	11	5739	3	138	0	0	0	0
SPAdes-MaxBin2-S17.114	p__Firmicutes (UID239)	1324	173	101	85.88	45.64	14.47	4392754	3441	1352	1501	4939	4473	3249	2924	32803	32803	61.4	1.87	90.32	11	5222	34	93	34	10	2	0
SPAdes-MaxBin2-S17.115	c__Alphaproteobacteria (UID3305)	564	349	230	86.38	16.99	18.46	5726552	4541	1518	1641	6362	5712	3772	3486	38916	36719	69.2	1.72	89.61	11	6634	57	248	38	3	3	0
SPAdes-MaxBin2-S17.117	k__Bacteria (UID1453)	901	171	117	75.01	20.83	29.73	2638902	2836	1536	1703	1716	1653	1718	1547	7733	6237	71.0	1.97	92.45	11	3800	54	88	25	4	0	0
SPAdes-MaxBin2-S17.119	k__Bacteria (UID1452)	924	151	101	58.42	2.97	0.00	1258603	590	258	284	16534	13831	4878	4429	84740	63180	48.4	1.78	87.62	11	1548	46	101	4	0	0	0
SPAdes-MaxBin2-S17.120	k__Bacteria (UID203)	5449	104	58	69.66	22.41	0.00	5788333	6870	1337	1494	9938	8965	4329	3869	79159	79159	69.3	1.37	91.10	11	6279	58	36	7	2	1	0
SPAdes-MaxBin2-S17.121	k__Bacteria (UID3187)	2258	181	110	77.26	42.79	60.00	3639794	2669	1502	1649	2790	2559	2423	2205	53915	53915	56.9	3.42	89.34	11	4734	54	66	59	2	0	0
SPAdes-MaxBin2-S17.122	k__Bacteria (UID1452)	924	161	108	62.96	1.85	0.00	1919304	746	357	405	13545	11839	5376	4737	74689	74689	36.1	3.19	86.96	11	2323	45	114	2	0	0	0
SPAdes-MaxBin2-S17.124	k__Bacteria (UID203)	5449	104	58	92.48	40.78	7.02	5190487	2728	1095	1221	20631	17377	4740	4248	105892	86518	68.4	1.30	91.19	11	5572	12	53	30	9	0	0
SPAdes-MaxBin2-S17.126	k__Bacteria (UID1452)	924	161	108	85.65	10.01	0.00	3352909	1879	618	695	24667	20378	5425	4821	130801	95205	59.4	1.69	91.28	11	3824	18	130	12	1	0	0
SPAdes-MaxBin2-S17.131	k__Bacteria (UID1452)	924	161	108	42.24	2.78	25.00	5244660	3715	1126	1280	10309	8896	4657	4094	50832	50286	59.7	1.43	86.36	11	5725	96	63	1	1	0	0
SPAdes-MaxBin2-S17.134	k__Bacteria (UID203)	5449	104	58	66.60	40.49	5.19	7631074	8012	3721	4281	2099	1940	2050	1780	38950	38950	66.6	1.40	88.46	11	10336	37	38	19	5	3	2
SPAdes-MaxBin2-S17.136	k__Bacteria (UID203)	5449	104	58	45.05	19.26	24.14	6140264	6387	2561	2959	2708	2469	2397	2072	37721	27231	69.7	1.21	89.63	11	7647	63	22	14	5	0	0
SPAdes-MaxBin2-S17.137	k__Bacteria (UID1453)	901	171	117	77.35	160.20	4.44	10015499	10432	5102	5819	1987	1861	1963	1719	25455	20031	73.2	1.55	91.81	11	13807	48	38	23	24	20	18
SPAdes-MaxBin2-S17.138	k__Bacteria (UID203)	5449	103	58	27.57	15.05	4.35	6287664	6791	2970	3417	2217	2055	2117	1838	35426	29395	65.7	1.35	84.34	11	8449	71	17	11	4	0	0
