sample	phylum	bin	snps	dnds_sum	dnds_glob
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	87	17.3409339223309	0.0249151349458778
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	7	2.40238178318845	0.0428996746997937
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	1	0.475280445427167	0.0594100556783959
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	75	23.0172652525896	0.038362108754316
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	9	2.5671961388769	0.0356555019288458
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	822	292.970348478618	0.0445514520192546
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	877	273.750354503113	0.039018009478779
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	211	65.5463312219352	0.0388307649419048
S17	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	27	14.3510228057526	0.0664399203970027
S17	Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	37	10.4944096632681	0.0354540867002302
S17	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	2	1.04834254029699	0.0655214087685621
S17	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	1	0.164809872931473	0.0206012341164341
S17	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	58	13.3387620340369	0.0287473319699072
S17	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	13	7.26434113733186	0.0698494340128063
S17	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	478	193.327567916517	0.050556372363106
S17	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	33	15.4519636174397	0.0585301652175746
S17	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	48	15.6586668320248	0.0407777782083978
S17	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	20	7.06331690704618	0.0441457306690386
S17	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	3541	815.820020537065	0.0287990687848442
S2	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	44	42.2081265935749	0.119909450549929
S2	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	12	6.99943207869558	0.0729107508197456
S2	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	73	62.4401529783644	0.106918070168432
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1156	770.61680529235	0.0833279417487402
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	717	323.960175961349	0.056478412824503
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	1	0.513130784394771	0.0641413480493464
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	4	2.09979919546958	0.0656187248584243
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	34	24.5955247778481	0.0904247234479708
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	7	2.46342648347668	0.0439897586335121
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	46	23.4615376739529	0.0637541784618286
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	1	0.795871991996846	0.0994839989996057
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	9	4.21708351938147	0.0585706044358537
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	1	0.449178680325267	0.0561473350406584
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	553	361.387393558654	0.0816879280195872
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	183	108.062186922782	0.0738129692095503
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	4	4.25509070373483	0.132971584491714
S2	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	20	15.1290449392557	0.0945565308703482
S2	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	1	0.27978974197249	0.0349737177465612
S2	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	7	4.93182263641477	0.0880682613645495
S2	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	1	3.24009728035192	0.405012160043991
S2	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	7	3.29989533721303	0.0589267024502326
S2	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	9	5.4666135336794	0.0759251879677694
S2	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	3189	989.460248220589	0.0387841113288095
S28	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	2	8.59609941078285	0.537256213173928
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	3	1.75741655507175	0.0732256897946563
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	4	1.19640166105038	0.0373875519078243
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	3	1.47671580275007	0.0615298251145863
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	1	0.84049150395755	0.105061437994694
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	1	0.864756349494321	0.10809454368679
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	2	0.775659870113829	0.0484787418821143
S28	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	1	0.0848470143315086	0.0106058767914386
S28	Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	2	0.393733447382508	0.0246083404614068
S28	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	1	0.601229346569081	0.0751536683211351
S28	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	1	0.154424551421951	0.0193030689277439
S28	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	2	0.219854174329422	0.0137408858955888
S28	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	1	0.0450575821648927	0.00563219777061159
S28	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	44	15.0400619900563	0.0427274488353872
S28	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	36	15.0649451632534	0.0523088373724075
S28	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	77	21.8407576377046	0.0354557753858841
S28	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	64	20.8351930371178	0.0406937364006206
S3	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	109	74.0399366097124	0.08490818418545
S3	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	33	9.96923873627691	0.0377622679404428
S3	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	91	57.7888633706149	0.0793803068277678
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1157	728.858127564272	0.0787443958042645
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	575	258.696645224271	0.056238401135711
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	2	0.506832533495571	0.0316770333434732
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	27	11.5674971803044	0.0535532276865943
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	37	38.1843158696711	0.129001067127267
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	5	2.62545303269737	0.0656363258174343
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	40	18.4308746799959	0.057596483374987
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	5	3.16131225935275	0.0790328064838187
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	4	1.88776666636324	0.0589927083238511
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	545	342.317585045713	0.0785132075792919
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	96	63.8649326220023	0.0831574643515656
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	3	4.23228544092754	0.176345226705314
S3	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	21	19.2550559427773	0.114613428230817
S3	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	1	0.143958150978103	0.0179947688722629
S3	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	1	1.02993861820278	0.128742327275347
S3	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	37	22.588354224216	0.0763120075142434
S3	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	4	2.26433768584735	0.0707605526827296
S3	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	9	4.02692899211698	0.0559295693349581
S3	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	2872	863.131208813697	0.0375666438376435
S5	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	43	84.2788983955744	0.244996797661553
S5	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	8	4.76537472362468	0.0744589800566357
S5	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	9	1.26691403319862	0.0175960282388698
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	6	5.09411349500688	0.10612736447931
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	29	15.1058479845327	0.0651114137264338
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	1	0.575981265988234	0.0719976582485292
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	5	1.30156577501117	0.0325391443752793
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	4	9.66378624026954	0.301993320008423
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	1	0.236826914671168	0.029603364333896
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	5	1.09735860614017	0.0274339651535042
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	1	0.406282108043944	0.050785263505493
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	1	0.231837701493931	0.0289797126867414
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	1	0.0634502482947445	0.00793128103684306
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	973	830.374114295499	0.106677044488116
S5	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	319	246.295242671062	0.0965106750278456
S5	Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	1	0.514096250705187	0.0642620313381483
S5	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	3	2.52445329006542	0.105185553752726
S5	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	122	83.7225850816326	0.0857813371738039
S5	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	1306	1052.70027282436	0.100756151686864
S5	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	1725	709.11669065795	0.0513852674389818
S5	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	24	15.3292016756075	0.0798395920604555
S5	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	204	96.2421248873798	0.05897189024962
S5	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	103	53.1544538192474	0.0645078323049119
S7	Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	311	305.44503277247	0.122767296130414
S7	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	414	118.861140031306	0.0358880253717711
S7	Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	15	9.60065330134806	0.0800054441779005
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	1393	798.76441947571	0.07167663491347
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	6	5.93321840875169	0.123608716848993
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	4	1.30612430539781	0.0408163845436815
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	2	1.88590305177937	0.11786894073621
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	41	19.9476212361836	0.0608159184029988
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	1	0.281739732028045	0.0352174665035056
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	3	1.35007942039581	0.0562533091831586
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	1	0.280291088968795	0.0350363861210994
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	214	82.0470156791986	0.0479246586911207
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	46	21.2950680223774	0.0578670326695037
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	560	231.1362912774	0.051592922160134
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	349	161.798130232633	0.0579506197108285
S7	Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	8	4.96390230391198	0.0775609734986247
S7	Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	1	0.300515118766538	0.0375643898458172
S7	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	3	1.9341190060569	0.0805882919190377
S7	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	1	0.636683289454227	0.0795854111817784
S7	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	5	1.71020369811262	0.0427550924528156
S7	Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	105	46.8530876427601	0.0557774852890002
S7	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	278	178.359601435543	0.0801976625159817
S7	Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	1200	906.906584290253	0.094469435863568
S7	Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	13	9.75238866924611	0.0937729679735203
S7	Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	18	5.3115454410339	0.0368857322294021
S7	Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	55	20.4883746607713	0.0465644878653892
S7	Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	1899	731.853775051314	0.0481736292161212
S15	Acidobacteriota	SPAdes-MaxBin2Refined-S15.004_sub	900	263.492822129014	0.292769802365571
S15	Acidobacteriota	SPAdes-MaxBin2Refined-S15.021_sub	1783	608.48809396613	0.341272066161598
S15	Acidobacteriota	SPAdes-MaxBin2Refined-S15.026_sub	1474	385.561366141511	0.261574875265611
S15	Acidobacteriota	SPAdes-MetaBAT2Refined-S15.50_sub	1008	342.098239416329	0.339383174024136
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.010	1615	510.100297790499	0.315851577579256
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.033_sub	1284	406.990309329106	0.316970645894942
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.057_sub	120	42.2158088972786	0.351798407477322
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.064_sub	175	91.6945153854876	0.523968659345644
S15	Proteobacteria	SPAdes-MaxBin2Refined-S15.065_sub	167	50.7566534930569	0.303932056844652
S15	Proteobacteria	SPAdes-MetaBAT2Refined-S15.27	547	172.487905460942	0.31533437927046
