chrom	length	bases	mean	min	max
NODE_746_length_55958_cov_847.818257	55958	55339893	988.95	250	2777
NODE_953_length_47522_cov_854.792508	47522	45606752	959.70	385	4959
NODE_969_length_47165_cov_820.415644	47165	46712517	990.41	217	3563
NODE_1000_length_46312_cov_791.536178	46312	45155257	975.02	382	2426
NODE_1271_length_39631_cov_813.959622	39631	37235974	939.57	449	3800
NODE_1431_length_36445_cov_766.258752	36445	34066230	934.73	265	1704
NODE_1512_length_34798_cov_828.187894	34798	33291045	956.69	428	2038
NODE_1570_length_34121_cov_789.466594	34121	32655989	957.06	431	2416
NODE_1605_length_33728_cov_802.849553	33728	30227800	896.22	260	1150
NODE_1610_length_33680_cov_813.799732	33680	33441069	992.91	533	1351
NODE_2095_length_28034_cov_804.674685	28034	26868173	958.41	255	1232
NODE_2716_length_23184_cov_771.825284	23184	18446690	795.66	181	4168
NODE_2870_length_22382_cov_724.184754	22382	18101126	808.74	327	1367
NODE_2926_length_22039_cov_792.963064	22039	20058116	910.12	137	1441
NODE_3130_length_20743_cov_813.003432	20743	19201596	925.69	220	1693
NODE_3384_length_19424_cov_780.958852	19424	19679911	1013.17	508	1712
NODE_3524_length_18846_cov_735.795115	18846	17044697	904.42	455	3148
NODE_3872_length_17416_cov_736.459766	17416	15725310	902.92	286	1292
NODE_4207_length_16265_cov_740.958729	16265	15508217	953.47	320	1153
NODE_4502_length_15312_cov_720.370977	15312	12720133	830.73	219	2232
NODE_5184_length_13539_cov_775.965811	13539	12967674	957.80	418	1182
NODE_5404_length_13036_cov_824.798860	13036	12883018	988.26	141	1215
NODE_5864_length_12114_cov_523.991459	12114	10214324	843.18	355	2048
NODE_6054_length_11732_cov_807.564100	11732	11123447	948.13	714	2174
NODE_6790_length_10455_cov_918.596442	10455	10750352	1028.25	461	1520
NODE_7039_length_10049_cov_811.079548	10049	9275855	923.06	231	1150
NODE_7395_length_9560_cov_779.736875	9560	8573586	896.82	234	1243
NODE_7793_length_9019_cov_927.552655	9019	9025941	1000.77	365	1235
NODE_7951_length_8821_cov_884.098677	8821	8663088	982.10	283	1156
NODE_8673_length_7983_cov_786.740918	7983	10285832	1288.47	458	2981
NODE_9905_length_6852_cov_888.430190	6852	6741042	983.81	415	1151
NODE_10247_length_6592_cov_924.422824	6592	6588168	999.42	320	1146
NODE_10817_length_6204_cov_775.866970	6204	5271493	849.69	296	1003
NODE_11055_length_6039_cov_914.449031	6039	5813314	962.63	361	1181
NODE_11061_length_6035_cov_892.990803	6035	6278037	1040.27	422	1215
NODE_11071_length_6025_cov_692.716918	6025	5073704	842.11	380	1074
NODE_11842_length_5565_cov_821.968603	5565	5857634	1052.58	182	3000
NODE_12132_length_5413_cov_731.924785	5413	5188171	958.46	411	1190
NODE_12771_length_5108_cov_717.467247	5108	4260334	834.05	258	1038
NODE_12796_length_5098_cov_694.010113	5098	4903312	961.81	498	1797
NODE_13843_length_4662_cov_751.158889	4662	4421006	948.31	313	1144
NODE_13930_length_4624_cov_477.581090	4624	2527942	546.70	302	642
NODE_14750_length_4326_cov_690.167642	4326	4212128	973.68	477	2821
NODE_14754_length_4325_cov_712.547307	4325	4306192	995.65	246	2125
NODE_15288_length_4157_cov_899.191858	4157	4068291	978.66	303	1154
NODE_15297_length_4156_cov_709.328700	4156	3833206	922.33	419	1113
NODE_15651_length_4061_cov_867.366450	4061	3597506	885.87	249	1148
NODE_16863_length_3757_cov_713.948676	3757	3579495	952.75	498	1126
NODE_17045_length_3721_cov_940.302237	3721	3779676	1015.77	491	1195
NODE_17219_length_3679_cov_829.894592	3679	3398118	923.65	472	1074
NODE_17292_length_3662_cov_760.751594	3662	3581864	978.12	307	1137
NODE_17490_length_3619_cov_704.631594	3619	3256798	899.92	290	1123
NODE_17812_length_3548_cov_761.994847	3548	3446382	971.36	626	1793
NODE_17875_length_3534_cov_850.090256	3534	3278140	927.60	518	1059
NODE_18275_length_3460_cov_921.044347	3460	3431394	991.73	314	1160
NODE_19140_length_3306_cov_336.981852	3306	1279603	387.05	53	830
NODE_19197_length_3297_cov_743.024368	3297	2871262	870.87	161	1181
NODE_19723_length_3212_cov_501.253722	3212	5218711	1624.75	313	2974
NODE_19729_length_3211_cov_903.463561	3211	3054671	951.31	353	1190
NODE_20049_length_3159_cov_716.263531	3159	2430505	769.39	162	943
NODE_21241_length_2992_cov_708.054137	2992	2887153	964.96	370	1103
NODE_21843_length_2917_cov_729.632425	2917	2747244	941.80	609	1092
NODE_22318_length_2864_cov_841.874689	2864	2664967	930.51	256	1205
NODE_23449_length_2735_cov_788.914925	2735	2427515	887.57	134	1123
NODE_23949_length_2684_cov_877.890453	2684	2380077	886.76	440	1076
NODE_24892_length_2589_cov_807.910024	2589	2318742	895.61	528	1015
NODE_25095_length_2570_cov_690.421869	2570	2308884	898.40	484	1084
NODE_25111_length_2568_cov_5.249503	2568	17743	6.91	1	15
NODE_25262_length_2554_cov_786.920368	2554	2437293	954.30	386	1207
NODE_26469_length_2445_cov_942.889540	2445	2445495	1000.20	626	1194
NODE_26861_length_2408_cov_128.122397	2408	333597	138.54	16	214
NODE_27838_length_2333_cov_743.082529	2333	2290120	981.62	472	1866
NODE_29782_length_2191_cov_716.354869	2191	1858837	848.40	432	1087
NODE_30334_length_2158_cov_705.422729	2158	1915941	887.83	481	1077
NODE_30748_length_2132_cov_723.912374	2132	2003794	939.87	484	1133
NODE_32898_length_2006_cov_29.082009	2006	64957	32.38	18	46
NODE_33183_length_1990_cov_4.855814	1990	14110	7.09	1	64
NODE_33265_length_1985_cov_818.295337	1985	2025449	1020.38	432	1677
NODE_33303_length_1983_cov_920.684647	1983	2040508	1029.00	199	1207
NODE_33533_length_1970_cov_879.850653	1970	2408576	1222.63	700	3778
NODE_36473_length_1827_cov_3.667607	1827	8522	4.66	1	10
NODE_36483_length_1826_cov_5.565217	1826	15076	8.26	1	14
NODE_36546_length_1823_cov_726.264140	1823	1779639	976.21	458	1131
NODE_36770_length_1814_cov_776.908471	1814	1530808	843.89	414	1205
NODE_37012_length_1804_cov_3.242996	1804	9825	5.45	1	10
NODE_38106_length_1758_cov_908.479154	1758	1675246	952.93	716	1122
NODE_38240_length_1753_cov_713.494111	1753	1318951	752.40	192	889
NODE_39076_length_1719_cov_838.452524	1719	1552911	903.38	287	1195
NODE_41356_length_1635_cov_797.771519	1635	1369627	837.69	246	967
NODE_42256_length_1603_cov_99.472222	1603	175012	109.18	31	134
NODE_44175_length_1541_cov_930.271871	1541	1460823	947.97	367	1164
NODE_44434_length_1533_cov_32.475643	1533	55069	35.92	22	54
NODE_45161_length_1513_cov_3.828532	1513	12086	7.99	2	18
NODE_45640_length_1498_cov_751.908524	1498	1208574	806.79	158	930
NODE_45956_length_1490_cov_3.310105	1490	4496	3.02	0	7
NODE_47317_length_1452_cov_1.508948	1452	3465	2.39	1	5
NODE_47536_length_1445_cov_2.694245	1445	3633	2.51	1	5
NODE_49095_length_1403_cov_5.524481	1403	12044	8.58	2	57
NODE_49284_length_1398_cov_4.316456	1398	8290	5.93	1	10
NODE_49622_length_1390_cov_136.263670	1390	213299	153.45	72	194
NODE_50099_length_1379_cov_2.635952	1379	4231	3.07	1	8
NODE_51306_length_1350_cov_1.962162	1350	3190	2.36	1	4
NODE_51553_length_1343_cov_743.970497	1343	1063635	791.98	406	1030
NODE_52210_length_1328_cov_3.027494	1328	8410	6.33	1	11
NODE_52818_length_1314_cov_238.764098	1314	352723	268.43	223	461
NODE_53347_length_1303_cov_767.887019	1303	1118994	858.78	463	1061
NODE_53852_length_1293_cov_1.858643	1293	2937	2.27	1	19
NODE_54498_length_1279_cov_2.794118	1279	4030	3.15	1	6
NODE_54592_length_1277_cov_2.309329	1277	3030	2.37	1	4
NODE_54819_length_1271_cov_95.499178	1271	130163	102.41	41	131
NODE_55688_length_1254_cov_2.434529	1254	2678	2.14	1	5
NODE_56189_length_1243_cov_3.910774	1243	5796	4.66	0	22
NODE_57067_length_1226_cov_67.789923	1226	88957	72.56	45	93
NODE_57939_length_1210_cov_744.782684	1210	977785	808.09	595	917
NODE_60415_length_1165_cov_5.153153	1165	6910	5.93	1	10
NODE_61683_length_1144_cov_2.642792	1144	3313	2.90	1	8
NODE_62445_length_1131_cov_3.109665	1131	3777	3.34	0	9
NODE_63005_length_1122_cov_2.119025	1122	2969	2.65	1	8
NODE_65800_length_1077_cov_2.231898	1077	2564	2.38	1	4
NODE_66149_length_1070_cov_847.587192	1070	1098598	1026.73	598	1960
NODE_67020_length_1059_cov_2.172311	1059	2606	2.46	1	5
NODE_68354_length_1040_cov_733.953299	1040	958027	921.18	456	1091
NODE_69218_length_1029_cov_2.227926	1029	3025	2.94	1	5
NODE_69481_length_1025_cov_3.032990	1025	4092	3.99	1	6
NODE_70295_length_1014_cov_3.168926	1014	2774	2.74	1	6
NODE_70697_length_1008_cov_946.511018	1008	967911	960.23	561	1096
NODE_48_length_174976_cov_342.150588	174976	65658089	375.24	0	573
NODE_98_length_139648_cov_333.278495	139648	51717790	370.34	72	683
NODE_102_length_137506_cov_338.348626	137506	51225084	372.53	151	474
NODE_147_length_118176_cov_355.199592	118176	45849018	387.97	200	653
NODE_154_length_117312_cov_347.889908	117312	45594661	388.66	0	3830
NODE_214_length_101225_cov_322.196906	101225	35989506	355.54	0	607
NODE_246_length_95108_cov_339.375285	95108	35598509	374.30	177	487
NODE_287_length_88557_cov_339.277271	88557	33169025	374.55	102	477
NODE_359_length_79951_cov_344.012278	79951	30264719	378.54	134	473
NODE_384_length_77617_cov_348.705436	77617	29842217	384.48	0	1226
NODE_387_length_77331_cov_350.613981	77331	29744995	384.65	191	488
NODE_485_length_68810_cov_347.345400	68810	26816740	389.72	198	2085
NODE_492_length_68335_cov_328.674063	68335	24757659	362.30	24	488
NODE_591_length_62969_cov_498.759116	62969	48428846	769.09	72	3229
NODE_704_length_57597_cov_513.490685	57597	36515571	633.98	45	1476
NODE_795_length_53680_cov_341.906331	53680	20254133	377.31	96	510
NODE_844_length_51225_cov_345.981884	51225	19725296	385.07	215	1435
NODE_950_length_47570_cov_483.041250	47570	28247805	593.82	140	1177
NODE_978_length_46993_cov_340.957455	46993	17705827	376.78	223	666
NODE_1032_length_45223_cov_349.356248	45223	17386882	384.47	277	561
NODE_1345_length_37984_cov_339.079517	37984	14220552	374.38	149	465
NODE_1347_length_37966_cov_325.494474	37966	13663208	359.88	0	496
NODE_1434_length_36412_cov_349.644580	36412	13931040	382.59	178	1050
NODE_1446_length_36124_cov_328.293632	36124	13222209	366.02	0	474
NODE_1476_length_35412_cov_319.903640	35412	12567353	354.89	117	840
NODE_1516_length_34774_cov_361.047323	34774	13421090	385.95	0	804
NODE_1782_length_31553_cov_338.751794	31553	12065829	382.40	123	1040
NODE_1923_length_29839_cov_349.905251	29839	11468437	384.34	193	507
NODE_2162_length_27489_cov_336.703944	27489	10235962	372.37	0	477
NODE_2188_length_27229_cov_339.701847	27229	10806732	396.88	171	2787
NODE_2228_length_26870_cov_341.929592	26870	10082662	375.24	220	464
NODE_2256_length_26617_cov_364.937166	26617	13157827	494.34	125	1402
NODE_2493_length_24686_cov_356.423044	24686	9652682	391.02	276	658
NODE_2565_length_24152_cov_340.968544	24152	9044541	374.48	0	570
NODE_2730_length_23135_cov_320.130156	23135	8233979	355.91	97	453
NODE_2784_length_22880_cov_533.314567	22880	14785601	646.22	147	1204
NODE_3155_length_20573_cov_371.641291	20573	7983002	388.03	153	546
NODE_3441_length_19123_cov_337.635777	19123	7158108	374.32	202	483
NODE_3454_length_19071_cov_375.781500	19071	7726244	405.13	0	1346
NODE_3491_length_18947_cov_342.976816	18947	7183065	379.11	0	464
NODE_3648_length_18315_cov_336.731544	18315	6779697	370.17	68	458
NODE_4005_length_16963_cov_331.739413	16963	6228701	367.19	93	670
NODE_4006_length_16947_cov_337.977208	16947	6267407	369.82	25	468
NODE_4098_length_16663_cov_400.509333	16663	10997054	659.97	154	3311
NODE_4307_length_15906_cov_339.249827	15906	5905704	371.29	0	470
NODE_4465_length_15410_cov_331.600326	15410	5733197	372.04	242	499
NODE_4534_length_15225_cov_346.247067	15225	6396998	420.16	177	1559
NODE_4612_length_15044_cov_318.466942	15044	5485195	364.61	110	763
NODE_4811_length_14453_cov_340.705237	14453	5532242	382.77	0	1207
NODE_4819_length_14430_cov_359.794783	14430	5649197	391.49	140	465
NODE_5203_length_13499_cov_354.249479	13499	5170509	383.03	216	472
NODE_5666_length_12519_cov_333.849246	12519	4564678	364.62	78	482
NODE_5959_length_11925_cov_341.038585	11925	4479024	375.60	231	479
NODE_6065_length_11700_cov_338.955861	11700	4357953	372.47	200	454
NODE_6148_length_11555_cov_378.170957	11555	4756941	411.68	51	1146
NODE_6824_length_10402_cov_344.674108	10402	3913627	376.24	161	468
NODE_7365_length_9599_cov_388.589271	9599	4022284	419.03	271	938
NODE_7370_length_9593_cov_341.439191	9593	3621261	377.49	138	452
NODE_7476_length_9438_cov_337.034531	9438	3473936	368.08	138	473
NODE_7709_length_9118_cov_339.583692	9118	3407734	373.74	220	542
NODE_7845_length_8959_cov_316.048181	8959	3148857	351.47	143	431
NODE_7984_length_8783_cov_785.625687	8783	4688162	533.78	41	1198
NODE_8093_length_8649_cov_342.619618	8649	3367123	389.31	0	1414
NODE_8127_length_8608_cov_300.062902	8608	2867023	333.06	71	431
NODE_8360_length_8347_cov_357.613965	8347	3303380	395.76	140	740
NODE_9035_length_7610_cov_353.984116	7610	2914044	382.92	222	467
NODE_9202_length_7453_cov_331.024196	7453	2675728	359.01	103	477
NODE_9937_length_6826_cov_360.348988	6826	2702224	395.87	153	490
NODE_10518_length_6424_cov_339.697598	6424	2446341	380.81	216	460
NODE_10788_length_6228_cov_650.881743	6228	2666894	428.21	29	683
NODE_10823_length_6200_cov_342.421481	6200	2413395	389.26	86	774
NODE_11089_length_6016_cov_354.436168	6016	2353137	391.15	157	489
NODE_11293_length_5886_cov_343.305265	5886	2278890	387.17	234	622
NODE_11709_length_5639_cov_341.187858	5639	2211262	392.14	242	859
NODE_12574_length_5187_cov_333.858730	5187	1899959	366.29	263	450
NODE_12995_length_5011_cov_348.689467	5011	2091901	417.46	54	893
NODE_13242_length_4909_cov_290.765760	4909	1583981	322.67	85	454
NODE_13274_length_4892_cov_342.174695	4892	1842627	376.66	185	473
NODE_14552_length_4395_cov_345.450230	4395	1685894	383.59	128	626
NODE_15835_length_4017_cov_4.184250	4017	20460	5.09	1	12
NODE_15968_length_3982_cov_320.800357	3982	1384488	347.69	137	476
NODE_16080_length_3952_cov_4.334103	3952	23193	5.87	1	23
NODE_16262_length_3902_cov_332.394853	3902	1543015	395.44	118	921
NODE_16709_length_3791_cov_3.107334	3791	21095	5.56	1	11
NODE_17072_length_3714_cov_3.829735	3714	24473	6.59	1	16
NODE_17103_length_3706_cov_13.515475	3706	65074	17.56	2	170
NODE_17480_length_3621_cov_4.527762	3621	26122	7.21	1	16
NODE_17563_length_3602_cov_5.272343	3602	24346	6.76	0	31
NODE_17692_length_3572_cov_336.623543	3572	1277156	357.55	137	429
NODE_18335_length_3448_cov_316.139994	3448	1195577	346.75	205	512
NODE_18745_length_3372_cov_336.456738	3372	1238546	367.30	159	452
NODE_18997_length_3330_cov_4.038779	3330	21058	6.32	1	14
NODE_19980_length_3171_cov_342.568999	3171	1183440	373.21	144	437
NODE_20234_length_3133_cov_329.011046	3133	1175278	375.13	235	612
NODE_20411_length_3109_cov_340.165357	3109	1190061	382.78	160	459
NODE_20652_length_3072_cov_43.580709	3072	148109	48.21	14	82
NODE_20890_length_3043_cov_30.505689	3043	126252	41.49	9	89
NODE_22366_length_2859_cov_714.802782	2859	2571798	899.54	169	1150
NODE_22573_length_2837_cov_344.294752	2837	1056041	372.24	198	436
NODE_22605_length_2833_cov_3.893089	2833	17723	6.26	2	10
NODE_22702_length_2821_cov_4.623283	2821	19299	6.84	0	17
NODE_22969_length_2789_cov_303.746159	2789	969043	347.45	165	762
NODE_23114_length_2773_cov_2.730684	2773	17142	6.18	1	15
NODE_23444_length_2736_cov_3.856024	2736	13927	5.09	1	10
NODE_24105_length_2669_cov_3.114767	2669	15294	5.73	1	11
NODE_24958_length_2583_cov_347.466772	2583	970051	375.55	101	446
NODE_25067_length_2573_cov_349.979746	2573	1337393	519.78	84	3058
NODE_25668_length_2517_cov_4.444760	2517	15539	6.17	1	13
NODE_26016_length_2487_cov_116.401316	2487	601904	242.02	14	724
NODE_26136_length_2476_cov_4.476663	2476	14275	5.77	1	10
NODE_26228_length_2469_cov_3.661143	2469	15001	6.08	1	34
NODE_27085_length_2392_cov_3.545571	2392	14629	6.12	1	12
NODE_27160_length_2386_cov_3.569284	2386	15609	6.54	1	14
NODE_27351_length_2370_cov_2.060043	2370	7527	3.18	1	8
NODE_27835_length_2334_cov_3.142168	2334	11903	5.10	1	25
NODE_27959_length_2323_cov_3.321869	2323	15865	6.83	1	17
NODE_28013_length_2318_cov_3.506407	2318	14036	6.06	1	14
NODE_28274_length_2301_cov_4.145147	2301	12571	5.46	1	13
NODE_28710_length_2267_cov_4.198463	2267	14144	6.24	1	10
NODE_28885_length_2255_cov_2.946364	2255	11389	5.05	1	10
NODE_30079_length_2173_cov_3.042965	2173	11319	5.21	1	12
NODE_30095_length_2172_cov_3.641474	2172	10960	5.05	0	16
NODE_30122_length_2171_cov_3.194707	2171	10244	4.72	1	10
NODE_30264_length_2162_cov_369.418605	2162	848322	392.38	93	494
NODE_30462_length_2151_cov_3.354962	2151	16235	7.55	1	14
NODE_30599_length_2142_cov_413.522760	2142	1824165	851.62	205	1095
NODE_31097_length_2110_cov_2.493917	2110	6446	3.05	1	6
NODE_31213_length_2102_cov_410.073766	2102	934740	444.69	23	888
NODE_31983_length_2058_cov_3.286570	2058	12581	6.11	1	11
NODE_32651_length_2022_cov_2.309609	2022	6895	3.41	1	9
NODE_32683_length_2019_cov_4.282587	2019	12183	6.03	1	14
NODE_32833_length_2011_cov_2.439162	2011	14228	7.08	2	18
NODE_33970_length_1947_cov_3.054440	1947	11482	5.90	2	31
NODE_34045_length_1942_cov_536.822470	1942	1904302	980.59	462	1521
NODE_34080_length_1941_cov_3.518558	1941	9172	4.73	1	9
NODE_34195_length_1935_cov_3.638830	1935	11677	6.03	1	12
NODE_34659_length_1914_cov_4.136633	1914	12443	6.50	1	14
NODE_34856_length_1904_cov_3.946998	1904	11153	5.86	1	12
NODE_35142_length_1889_cov_357.953108	1889	723353	382.93	148	443
NODE_35183_length_1887_cov_4.102620	1887	12586	6.67	1	13
NODE_35238_length_1884_cov_3.893384	1884	13624	7.23	1	12
NODE_35242_length_1884_cov_2.511755	1884	10925	5.80	3	9
NODE_35388_length_1877_cov_3.368277	1877	12466	6.64	2	12
NODE_35516_length_1871_cov_3.638767	1871	11445	6.12	1	21
NODE_35545_length_1870_cov_2.671625	1870	5197	2.78	1	9
NODE_35994_length_1848_cov_3.989961	1848	11664	6.31	1	13
NODE_36063_length_1844_cov_326.110676	1844	677775	367.56	70	700
NODE_36762_length_1815_cov_3.000000	1815	11617	6.40	1	23
NODE_37280_length_1792_cov_4.312608	1792	11418	6.37	1	13
NODE_37716_length_1774_cov_3.457824	1774	10057	5.67	1	11
NODE_38425_length_1746_cov_3.010053	1746	7465	4.28	1	7
NODE_38443_length_1745_cov_4.050296	1745	12234	7.01	1	13
NODE_38598_length_1738_cov_405.579917	1738	809320	465.66	239	680
NODE_39229_length_1714_cov_2.811935	1714	4183	2.44	1	5
NODE_39251_length_1713_cov_2.700241	1713	10608	6.19	2	20
NODE_39294_length_1711_cov_2.804952	1711	9289	5.43	0	10
NODE_39421_length_1706_cov_4.043004	1706	11087	6.50	1	12
NODE_39812_length_1691_cov_3.787897	1691	11699	6.92	0	13
NODE_40393_length_1670_cov_3.130650	1670	10617	6.36	1	12
NODE_40421_length_1669_cov_3.501859	1669	9229	5.53	1	10
NODE_40441_length_1668_cov_4.248605	1668	13438	8.06	1	15
NODE_40474_length_1667_cov_2.064516	1667	6451	3.87	0	8
NODE_40583_length_1662_cov_3.798382	1662	10027	6.03	1	10
