gene_id	name	product
PGNLFDMH_01142	yfcG_1	Disulfide-bond oxidoreductase YfcG
PGNLFDMH_01176	iscA	Iron-binding protein IscA
PGNLFDMH_01177	iscU	Iron-sulfur cluster assembly scaffold protein IscU
PGNLFDMH_01178	iscS	Cysteine desulfurase IscS
PGNLFDMH_01232	sseB	Putative thiosulfate sulfurtransferase SseB
PGNLFDMH_01233	yfcG_2	Disulfide-bond oxidoreductase YfcG
PGNLFDMH_01270	czcA_1	Cobalt-zinc-cadmium resistance protein CzcA
PGNLFDMH_01280	PGNLFDMH_01280	Sulfide-quinone reductase
PGNLFDMH_01419	ftsH	ATP-dependent zinc metalloprotease FtsH
PGNLFDMH_01447	copZ	Copper chaperone CopZ
PGNLFDMH_01515	dsbD_2	Thiol:disulfide interchange protein DsbD
PGNLFDMH_01526	ttcA	tRNA-cytidine(32) 2-sulfurtransferase
PGNLFDMH_01660	dsbA	Thiol:disulfide interchange protein DsbA
PGNLFDMH_01793	resA_2	Thiol-disulfide oxidoreductase ResA
PGNLFDMH_01921	petA	Ubiquinol-cytochrome c reductase iron-sulfur subunit
PGNLFDMH_02056	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
PGNLFDMH_02104	PGNLFDMH_02104	Sulfurtransferase
PGNLFDMH_02189	fdhD	Sulfur carrier protein FdhD
PGNLFDMH_02313	erpA_2	Iron-sulfur cluster insertion protein ErpA
PGNLFDMH_02352	czcA_2	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_00002	resA_1	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_00006	glpE	Thiosulfate sulfurtransferase GlpE
NDKKPKCF_00007	tsdA	Thiosulfate dehydrogenase
NDKKPKCF_00031	czcB_1	Cobalt-zinc-cadmium resistance protein CzcB
NDKKPKCF_00032	czcA_1	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_00060	NDKKPKCF_00060	putative zinc protease
NDKKPKCF_00075	resA_2	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_00080	sauU_1	putative sulfoacetate transporter SauU
NDKKPKCF_00202	petC_1	Cytochrome b6-f complex iron-sulfur subunit
NDKKPKCF_00206	copB_1	Copper resistance protein B
NDKKPKCF_00207	copA_1	Copper resistance protein A
NDKKPKCF_00289	fetB	putative iron export permease protein FetB
NDKKPKCF_00291	nifS	Cysteine desulfurase NifS
NDKKPKCF_00360	cyaY	Iron-sulfur cluster assembly protein CyaY
NDKKPKCF_00374	ftsH_1	ATP-dependent zinc metalloprotease FtsH
NDKKPKCF_00498	ftsH4	ATP-dependent zinc metalloprotease FtsH 4
NDKKPKCF_00502	czcC_1	Cobalt-zinc-cadmium resistance protein CzcC
NDKKPKCF_00503	czcB_2	Cobalt-zinc-cadmium resistance protein CzcB
NDKKPKCF_00504	czcA_2	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_00514	rip3_1	Putative zinc metalloprotease Rip3
NDKKPKCF_00526	NDKKPKCF_00526	6-deoxy-6-sulfogluconolactonase
NDKKPKCF_00576	NDKKPKCF_00576	N-acetylglucosamine-6-O-sulfatase
NDKKPKCF_00582	yjmD	putative zinc-type alcohol dehydrogenase-like protein YjmD
NDKKPKCF_00645	moeZ	putative adenylyltransferase/sulfurtransferase MoeZ
NDKKPKCF_00646	cysO_1	Sulfur carrier protein CysO
NDKKPKCF_00651	rip3_2	Putative zinc metalloprotease Rip3
NDKKPKCF_00672	sauU_2	putative sulfoacetate transporter SauU
NDKKPKCF_00753	actP	Copper-transporting P-type ATPase
NDKKPKCF_00895	NDKKPKCF_00895	Bifunctional sulfatase/alpha-L-rhamnosidase
NDKKPKCF_00978	NDKKPKCF_00978	Ulvan-active sulfatase
NDKKPKCF_01034	NDKKPKCF_01034	N-acetylgalactosamine-6-O-sulfatase
NDKKPKCF_01069	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
NDKKPKCF_01096	NDKKPKCF_01096	Ulvan-active sulfatase
NDKKPKCF_01138	dsbD_1	Thiol:disulfide interchange protein DsbD
NDKKPKCF_01191	dsbD_2	Thiol:disulfide interchange protein DsbD
NDKKPKCF_01221	frdB	Fumarate reductase iron-sulfur subunit
NDKKPKCF_01261	czcA_3	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_01262	czcB_3	Cobalt-zinc-cadmium resistance protein CzcB
NDKKPKCF_01345	znuB	High-affinity zinc uptake system membrane protein ZnuB
NDKKPKCF_01346	znuC	Zinc import ATP-binding protein ZnuC
NDKKPKCF_01355	msrB	Peptide methionine sulfoxide reductase MsrB
NDKKPKCF_01584	tsaC1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
NDKKPKCF_01672	yihU	3-sulfolactaldehyde reductase
NDKKPKCF_01807	sauU_3	putative sulfoacetate transporter SauU
NDKKPKCF_01997	erpA	Iron-sulfur cluster insertion protein ErpA
NDKKPKCF_02003	sir	Sulfite reductase [ferredoxin]
NDKKPKCF_02019	mmcO_1	Multicopper oxidase MmcO
NDKKPKCF_02043	resA_3	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_02085	iscU_1	Iron-sulfur cluster assembly scaffold protein IscU
NDKKPKCF_02117	sseA	3-mercaptopyruvate sulfurtransferase
NDKKPKCF_02142	asrB	Anaerobic sulfite reductase subunit B
NDKKPKCF_02159	ytfE	Iron-sulfur cluster repair protein YtfE
NDKKPKCF_02195	NDKKPKCF_02195	Sulfoquinovose 1-dehydrogenase
NDKKPKCF_02333	czcA_4	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_02347	cysH	Phosphoadenosine phosphosulfate reductase
NDKKPKCF_02348	cysN	Sulfate adenylyltransferase subunit 1
NDKKPKCF_02349	cysD	Sulfate adenylyltransferase subunit 2
NDKKPKCF_02352	mmcO_2	Multicopper oxidase MmcO
NDKKPKCF_02355	msrQ_1	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
NDKKPKCF_02370	msrA_1	Peptide methionine sulfoxide reductase MsrA
NDKKPKCF_02408	cysO_2	Sulfur carrier protein CysO
NDKKPKCF_02461	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
NDKKPKCF_02482	atsA_1	Arylsulfatase
NDKKPKCF_02487	sqr	Sulfide-quinone reductase
NDKKPKCF_02572	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB
NDKKPKCF_02691	zupT	Zinc transporter ZupT
NDKKPKCF_02722	NDKKPKCF_02722	Sulfurtransferase
NDKKPKCF_02868	resA_4	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_02878	sauU_4	putative sulfoacetate transporter SauU
NDKKPKCF_02988	NDKKPKCF_02988	Arylsulfatase
NDKKPKCF_03041	sauU_5	putative sulfoacetate transporter SauU
NDKKPKCF_03063	NDKKPKCF_03063	Ulvan-active sulfatase
NDKKPKCF_03118	NDKKPKCF_03118	Iron-sulfur cluster carrier protein
NDKKPKCF_03154	NDKKPKCF_03154	Putative zinc metalloprotease
NDKKPKCF_03163	yihV	Sulfofructose kinase
NDKKPKCF_03174	rclA	putative pyridine nucleotide-disulfide oxidoreductase RclA
NDKKPKCF_03215	atsA_2	Arylsulfatase
NDKKPKCF_03331	czcA_5	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_03357	apbC	Iron-sulfur cluster carrier protein
NDKKPKCF_03371	czcA_6	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_03373	czcC_2	Cobalt-zinc-cadmium resistance protein CzcC
NDKKPKCF_03600	iscS	Cysteine desulfurase IscS
NDKKPKCF_03601	iscU_2	Iron-sulfur cluster assembly scaffold protein IscU
NDKKPKCF_03609	ideR	Iron-dependent repressor IdeR
NDKKPKCF_03651	zosA	Zinc-transporting ATPase
NDKKPKCF_03725	NDKKPKCF_03725	Ulvan-active sulfatase
NDKKPKCF_03793	petC_2	Cytochrome b6-f complex iron-sulfur subunit
NDKKPKCF_03810	czcA_7	Cobalt-zinc-cadmium resistance protein CzcA
NDKKPKCF_03844	NDKKPKCF_03844	N-acetylgalactosamine-6-O-sulfatase
NDKKPKCF_03861	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
NDKKPKCF_03862	msrQ_2	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
NDKKPKCF_03910	fadF	putative iron-sulfur-binding oxidoreductase FadF
NDKKPKCF_04028	ftsH_2	ATP-dependent zinc metalloprotease FtsH
NDKKPKCF_04072	resA_5	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_04101	sauU_6	putative sulfoacetate transporter SauU
NDKKPKCF_04165	petC1	Cytochrome b6-f complex iron-sulfur subunit 1
NDKKPKCF_04242	copA_2	Copper resistance protein A
NDKKPKCF_04243	copB_2	Copper resistance protein B
NDKKPKCF_04247	metY	O-acetyl-L-homoserine sulfhydrylase
NDKKPKCF_04445	resA_6	Thiol-disulfide oxidoreductase ResA
NDKKPKCF_04508	msrA_2	Peptide methionine sulfoxide reductase MsrA
NDKKPKCF_04569	NDKKPKCF_04569	O-acetyl-L-homoserine sulfhydrylase
NDKKPKCF_04573	NDKKPKCF_04573	N-acetylgalactosamine-6-O-sulfatase
NDKKPKCF_04598	NDKKPKCF_04598	Sulfatase
PLBEFDIH_00015	cysD	Sulfate adenylyltransferase subunit 2
PLBEFDIH_00026	psrA	Polysulfide reductase chain A
PLBEFDIH_00027	mrp_1	Iron-sulfur cluster carrier protein
PLBEFDIH_00028	ftsH_1	ATP-dependent zinc metalloprotease FtsH
PLBEFDIH_00031	PLBEFDIH_00031	Sulfurtransferase
PLBEFDIH_00038	ricR	Copper-sensing transcriptional repressor RicR
PLBEFDIH_00095	moeZ	putative adenylyltransferase/sulfurtransferase MoeZ
PLBEFDIH_00166	cysA_1	Sulfate/thiosulfate import ATP-binding protein CysA
PLBEFDIH_00268	PLBEFDIH_00268	Putative thiosulfate sulfurtransferase
PLBEFDIH_00271	cysC	Adenylyl-sulfate kinase
PLBEFDIH_00315	ttuD	Sulfur carrier protein TtuD
PLBEFDIH_00418	msrA	Peptide methionine sulfoxide reductase MsrA
PLBEFDIH_00485	ssuD	Alkanesulfonate monooxygenase
PLBEFDIH_00536	sir	Sulfite reductase [ferredoxin]
PLBEFDIH_00541	rhdA	Thiosulfate sulfurtransferase
PLBEFDIH_00683	mrp_2	Iron-sulfur cluster carrier protein
PLBEFDIH_00701	dsbD	Thiol:disulfide interchange protein DsbD
PLBEFDIH_00702	resA_1	Thiol-disulfide oxidoreductase ResA
PLBEFDIH_00707	dsbE	Thiol:disulfide interchange protein DsbE
PLBEFDIH_00718	PLBEFDIH_00718	putative zinc-binding alcohol dehydrogenase
PLBEFDIH_00735	hpsN	Sulfopropanediol 3-dehydrogenase
PLBEFDIH_00946	PLBEFDIH_00946	Iron-sulfur cluster carrier protein
PLBEFDIH_00954	znuB	High-affinity zinc uptake system membrane protein ZnuB
PLBEFDIH_00957	zur	Zinc uptake regulation protein
PLBEFDIH_01075	ftsH_2	ATP-dependent zinc metalloprotease FtsH
PLBEFDIH_01122	tsaM1	Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
PLBEFDIH_01127	ssuC	Putative aliphatic sulfonates transport permease protein SsuC
PLBEFDIH_01128	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB
PLBEFDIH_01186	fdhD	Sulfur carrier protein FdhD
PLBEFDIH_01251	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
PLBEFDIH_01307	resA_2	Thiol-disulfide oxidoreductase ResA
PLBEFDIH_01391	rip3	Putative zinc metalloprotease Rip3
PLBEFDIH_01409	rip1	Zinc metalloprotease Rip1
PLBEFDIH_01411	msrB	Peptide methionine sulfoxide reductase MsrB
PLBEFDIH_01612	ftsH_3	ATP-dependent zinc metalloprotease FtsH
PLBEFDIH_01768	cysO	Sulfur carrier protein CysO
PLBEFDIH_01774	cysM	O-phosphoserine sulfhydrylase
PLBEFDIH_01818	cysH	putative phosphoadenosine phosphosulfate reductase
PLBEFDIH_02064	PLBEFDIH_02064	putative zinc protease
PLBEFDIH_02112	cysA_2	Sulfate/thiosulfate import ATP-binding protein CysA
JIBFLAPH_00067	msrA	Peptide methionine sulfoxide reductase MsrA
JIBFLAPH_00068	msrB	Peptide methionine sulfoxide reductase MsrB
JIBFLAPH_00313	cysA	Putative thiosulfate sulfurtransferase
JIBFLAPH_00317	JIBFLAPH_00317	putative zinc-binding alcohol dehydrogenase
JIBFLAPH_00411	sauT	putative sulfoacetate--CoA ligase
JIBFLAPH_00551	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
JIBFLAPH_00553	comC_1	(2R)-3-sulfolactate dehydrogenase (NADP(+))
JIBFLAPH_00580	petC_1	Cytochrome b6-f complex iron-sulfur subunit
JIBFLAPH_00593	iscS	Cysteine desulfurase IscS
JIBFLAPH_00601	thiS	Sulfur carrier protein ThiS
JIBFLAPH_00623	JIBFLAPH_00623	putative zinc protease
JIBFLAPH_00659	dsbD	Thiol:disulfide interchange protein DsbD
JIBFLAPH_00689	resA_1	Thiol-disulfide oxidoreductase ResA
JIBFLAPH_00720	comB	2-phosphosulfolactate phosphatase
JIBFLAPH_00860	thiI	tRNA sulfurtransferase
JIBFLAPH_00929	ftsH_1	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_00934	asrB	Anaerobic sulfite reductase subunit B
JIBFLAPH_01020	ttuC	Sulfur carrier protein adenylyltransferase
JIBFLAPH_01056	yedY1	Putative protein-methionine-sulfoxide reductase subunit YedZ1
JIBFLAPH_01170	ssuD_1	Alkanesulfonate monooxygenase
JIBFLAPH_01172	petC_2	Cytochrome b6-f complex iron-sulfur subunit
JIBFLAPH_01294	msuD	Methanesulfonate monooxygenase
JIBFLAPH_01316	JIBFLAPH_01316	6-deoxy-6-sulfogluconolactonase
JIBFLAPH_01353	dmsA_1	Dimethyl sulfoxide/trimethylamine N-oxide reductase
JIBFLAPH_01376	cysH	putative phosphoadenosine phosphosulfate reductase
JIBFLAPH_01377	cysC	putative adenylyl-sulfate kinase
JIBFLAPH_01378	cysD	Sulfate adenylyltransferase subunit 2
JIBFLAPH_01435	dmsA_2	Dimethyl sulfoxide reductase DmsA
JIBFLAPH_01463	rip3	Putative zinc metalloprotease Rip3
JIBFLAPH_01506	ftsH_2	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_01572	msrP_1	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
JIBFLAPH_01600	resA_2	Thiol-disulfide oxidoreductase ResA
JIBFLAPH_01611	ideR	Iron-dependent repressor IdeR
JIBFLAPH_01696	cutC	Copper homeostasis protein CutC
JIBFLAPH_01820	JIBFLAPH_01820	6-deoxy-6-sulfo-D-gluconate dehydratase
JIBFLAPH_01821	yihU	3-sulfolactaldehyde reductase
JIBFLAPH_01948	xsc_1	Sulfoacetaldehyde acetyltransferase
JIBFLAPH_01960	sir	Sulfite reductase [ferredoxin]
JIBFLAPH_02000	fieF	Ferrous-iron efflux pump FieF
JIBFLAPH_02027	JIBFLAPH_02027	6-deoxy-6-sulfogluconolactonase
JIBFLAPH_02051	ftsH_3	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_02100	JIBFLAPH_02100	N-acetylglucosamine-6-O-sulfatase
JIBFLAPH_02117	JIBFLAPH_02117	2-dehydro-3%2C6-dideoxy-6-sulfogluconate aldolase
JIBFLAPH_02208	ftsH_4	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_02315	ftsH_5	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_02334	sseA	3-mercaptopyruvate sulfurtransferase
JIBFLAPH_02454	ssuD_2	Alkanesulfonate monooxygenase
JIBFLAPH_02503	znuC	Zinc import ATP-binding protein ZnuC
JIBFLAPH_02504	znuB_1	High-affinity zinc uptake system membrane protein ZnuB
JIBFLAPH_02505	znuB_2	High-affinity zinc uptake system membrane protein ZnuB
JIBFLAPH_02636	ftsH_6	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_02770	JIBFLAPH_02770	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
JIBFLAPH_02795	JIBFLAPH_02795	Putative Rieske 2Fe-2S iron-sulfur protein/MSMEI_6242
JIBFLAPH_02913	ydjJ	putative zinc-type alcohol dehydrogenase-like protein YdjJ
JIBFLAPH_03040	petC_3	Cytochrome b6-f complex iron-sulfur subunit
JIBFLAPH_03084	JIBFLAPH_03084	Ulvan-active sulfatase
JIBFLAPH_03191	apbC_1	Iron-sulfur cluster carrier protein
JIBFLAPH_03218	yjmD	putative zinc-type alcohol dehydrogenase-like protein YjmD
JIBFLAPH_03286	JIBFLAPH_03286	Ulvan-active sulfatase
JIBFLAPH_03296	ftsH_7	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_03380	ssuD_3	Alkanesulfonate monooxygenase
JIBFLAPH_03404	fdhD	Sulfur carrier protein FdhD
JIBFLAPH_03471	JIBFLAPH_03471	Arylsulfatase
JIBFLAPH_03525	ssuD_4	Alkanesulfonate monooxygenase
JIBFLAPH_03726	ftsH_8	ATP-dependent zinc metalloprotease FtsH
JIBFLAPH_03769	apbC_2	Iron-sulfur cluster carrier protein
JIBFLAPH_03838	glpE	Thiosulfate sulfurtransferase GlpE
JIBFLAPH_03861	JIBFLAPH_03861	Arylsulfatase
JIBFLAPH_03895	maoII	Copper methylamine oxidase
JIBFLAPH_03957	petC_4	Cytochrome b6-f complex iron-sulfur subunit
JIBFLAPH_04031	comC_2	(2R)-3-sulfolactate dehydrogenase (NADP(+))
JIBFLAPH_04061	JIBFLAPH_04061	putative zinc-binding alcohol dehydrogenase
JIBFLAPH_04121	csoR	Copper-sensing transcriptional repressor CsoR
JIBFLAPH_04136	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
JIBFLAPH_04387	JIBFLAPH_04387	Ulvan-active sulfatase
JIBFLAPH_04555	cysO	Sulfur carrier protein CysO
JIBFLAPH_04642	tsaC1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
JIBFLAPH_04849	xsc_2	Sulfoacetaldehyde acetyltransferase
JIBFLAPH_04877	sufU	Zinc-dependent sulfurtransferase SufU
JIBFLAPH_04878	sufS_1	Cysteine desulfurase SufS
JIBFLAPH_04928	JIBFLAPH_04928	Ulvan-active sulfatase
JIBFLAPH_04954	msrP_2	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
JIBFLAPH_05054	erpA	Iron-sulfur cluster insertion protein ErpA
JIBFLAPH_05059	sufS_2	Cysteine desulfurase SufS
JIBFLAPH_05081	resA_3	Thiol-disulfide oxidoreductase ResA
JIBFLAPH_05110	ttuA	tRNA-5-methyluridine(54) 2-sulfurtransferase
JIBFLAPH_05209	JIBFLAPH_05209	N-acetylglucosamine-6-O-sulfatase
JIBFLAPH_05398	JIBFLAPH_05398	Ulvan-active sulfatase
JLPDODBL_00023	msrB	Peptide methionine sulfoxide reductase MsrB
JLPDODBL_00037	yfcG	Disulfide-bond oxidoreductase YfcG
JLPDODBL_00060	znuB_1	High-affinity zinc uptake system membrane protein ZnuB
JLPDODBL_00061	znuC_1	Zinc import ATP-binding protein ZnuC
JLPDODBL_00063	znuA	High-affinity zinc uptake system protein ZnuA
JLPDODBL_00169	petA_1	Ubiquinol-cytochrome c reductase iron-sulfur subunit
JLPDODBL_00232	ftsH4_1	ATP-dependent zinc metalloprotease FtsH 4
JLPDODBL_00233	zupT	Zinc transporter ZupT
JLPDODBL_00287	tusA_1	Sulfur carrier protein TusA
JLPDODBL_00330	sdhB	Succinate dehydrogenase iron-sulfur subunit
JLPDODBL_00345	JLPDODBL_00345	Zinc-type alcohol dehydrogenase-like protein
JLPDODBL_00360	msrQ	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
JLPDODBL_00461	xsc	Sulfoacetaldehyde acetyltransferase
