KO	KO_definition	sum_ko	score_avg	dNdS
K03117	sec-independent protein translocase protein TatB	93	76.23	PS
K03120	transcription initiation factor TFIID TATA-box-binding protein	16	38.47	PS
K03200	type IV secretion system protein VirB5	5	61.4	PS
K03203	type IV secretion system protein VirB8	10	145.13	PS
K03210	preprotein translocase subunit YajC	190	35.23	PS
K03214	RNA methyltransferase, TrmH family [EC:2.1.1.-]	12	213.1	PS
K03217	YidC/Oxa1 family membrane protein insertase	223	116.3	PS
K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	122	65.57	PS
K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	27	345.37	PS
K03413	two-component system, chemotaxis family, chemotaxis protein CheY	156	139.13	PS
K03437	RNA methyltransferase, TrmH family	151	213.67	PS
K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	297	58.27	PS
K03497	ParB family transcriptional regulator, chromosome partitioning protein	360	54.23	PS
K03524	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	196	155.9	PS
K03550	holliday junction DNA helicase RuvA [EC:5.6.2.4]	225	47.9	PS
K03553	recombination protein RecA	224	96.2	PS
K03555	DNA mismatch repair protein MutS	151	679.87	PS
K03559	biopolymer transport protein ExbD	452	27.47	PS
K03562	biopolymer transport protein TolQ	83	250.47	PS
K03576	LysR family transcriptional regulator, regulator for metE and metH	19	222.2	PS
K03577	TetR/AcrR family transcriptional regulator, acrAB operon repressor	4	237.6	PS
K03584	DNA repair protein RecO (recombination protein O)	216	39.57	PS
K03586	cell division protein FtsL	127	43	PS
K03587	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	216	455.93	PS
K03589	cell division protein FtsQ	189	45.8	PS
K03591	cell division protein FtsN	4	76.13	PS
K03592	PmbA protein	135	304.97	PS
K03603	GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA	1	198.33	PS
K03625	transcription antitermination protein NusB	220	91.33	PS
K03628	transcription termination factor Rho	205	199.13	PS
K03629	DNA replication and repair protein RecF	150	115.23	PS
K03641	TolB protein	142	131.7	PS
K03656	ATP-dependent DNA helicase Rep [EC:5.6.2.4]	25	760.4	PS
K03686	molecular chaperone DnaJ	299	409.57	PS
K03687	molecular chaperone GrpE	274	32.23	PS
K03690	ubiquinone biosynthesis accessory factor UbiJ	41	75.13	PS
K03696	ATP-dependent Clp protease ATP-binding subunit ClpC	110	1083.83	PS
K03711	Fur family transcriptional regulator, ferric uptake regulator	96	145.33	PS
K03718	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	39	148.13	PS
K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	268	129.13	PS
K03727	ATP-dependent RNA helicase HelY [EC:3.6.4.-]	50	789.93	PS
K03732	ATP-dependent RNA helicase RhlB [EC:3.6.4.13]	14	521.7	PS
K03733	integrase/recombinase XerC	89	327.6	PS
K03744	LemA protein	123	28.33	PS
K03771	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]	103	207.97	PS
K03775	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]	45	151.43	PS
K03799	heat shock protein HtpX [EC:3.4.24.-]	212	134.2	PS
K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	18	137.97	PS
K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	190	319.63	PS
K04080	molecular chaperone IbpA	35	193.5	PS
K04479	DNA polymerase IV (archaeal DinB-like DNA polymerase) [EC:2.7.7.7]	1	407.4	PS
K04483	DNA repair protein RadA	15	426.7	PS
K04485	DNA repair protein RadA/Sms	178	93.87	PS
K04651	hydrogenase nickel incorporation protein HypA/HybF	218	37.43	PS
K04652	hydrogenase nickel incorporation protein HypB	71	115.63	PS
K04654	hydrogenase expression/formation protein HypD	103	208.23	PS
K04656	hydrogenase maturation protein HypF	99	158.07	PS
K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	405	52.83	PS
K04760	transcription elongation factor GreB	43	191.43	PS
K04763	integrase/recombinase XerD	154	291.3	PS
K04768	acetoin utilization protein AcuC	52	364.8	PS
K05499	LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG	4	394.5	PS
K05501	TetR/AcrR family transcriptional regulator	26	127.43	PS
K05527	BolA family transcriptional regulator, general stress-responsive regulator	85	71.63	PS
K05590	ATP-dependent RNA helicase SrmB [EC:3.6.4.13]	18	489	PS
K05591	ATP-dependent RNA helicase DbpA [EC:3.6.4.13]	22	526.07	PS
K05592	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	158	531.8	PS
K05800	Lrp/AsnC family transcriptional regulator, cysteine-sensing transcriptional activator	15	199.47	PS
K05801	DnaJ like chaperone protein	27	90.47	PS
K05807	outer membrane protein assembly factor BamD	137	69.4	PS
K05818	IclR family transcriptional regulator, mhp operon transcriptional activator	4	176.1	PS
K05881	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	15	84.8	PS
K06020	energy-dependent translational throttle protein EttA	124	677.27	PS
K06118	UDP-sulfoquinovose synthase [EC:3.13.1.1]	89	335	PS
K06186	outer membrane protein assembly factor BamE	39	65.03	PS
K06187	recombination protein RecR	223	121.63	PS
K06194	lipoprotein NlpD	63	156.87	PS
K06204	RNA polymerase-binding transcription factor	399	37.5	PS
K06285	transcription attenuation protein (tryptophan RNA-binding attenuator protein)	2	80.37	PS
K06860	putative heme uptake system protein	4	124.47	PS
K06877	DEAD/DEAH box helicase domain-containing protein	71	279.1	PS
K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	80	203.73	PS
K06925	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	219	63.5	PS
K06961	ribosomal RNA assembly protein	9	67.73	PS
K06980	tRNA-modifying protein YgfZ	119	196.77	PS
K06994	putative drug exporter of the RND superfamily	231	263.53	PS
K07062	toxin FitB [EC:3.1.-.-]	99	104.23	PS
K07145	heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]	4	75.93	PS
K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	221	35.3	PS
K07171	mRNA interferase MazF [EC:3.1.-.-]	411	21.13	PS
K07172	antitoxin MazE	59	46.5	PS
K07183	two-component system, response regulator / RNA-binding antiterminator	33	173.27	PS
K07215	heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]	2	98.73	PS
K07226	heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]	40	76.43	PS
K07227	heme iron utilization protein	1	184.7	PS
K07258	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	237	225.87	PS
K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	121	102.27	PS
K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	22	64.3	PS
K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]	25	297.63	PS
K07334	toxin HigB-1	240	65.83	PS
K07403	membrane-bound serine protease (ClpP class)	92	116.67	PS
K07456	DNA mismatch repair protein MutS2	78	282.8	PS
K07491	REP-associated tyrosine transposase	281	16.23	PS
K07506	AraC family transcriptional regulator	62	140.37	PS
K07544	benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]	56	461.77	PS
K07558	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	15	289.47	PS
K07559	putative RNA 2'-phosphotransferase [EC:2.7.1.-]	19	140.53	PS
K07569	RNA-binding protein	3	51.1	PS
K07571	S1 RNA binding domain protein	7	150.07	PS
K07574	RNA-binding protein	30	36.73	PS
K07580	Zn-ribbon RNA-binding protein	2	49.1	PS
K07581	RNA-binding protein	1	59.83	PS
K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	204	308.83	PS
K07637	two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	27	235.47	PS
K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	63	331.77	PS
K07640	two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]	9	401.5	PS
K07641	two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]	6	325.53	PS
K07642	two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	6	358.13	PS
K07644	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	82	384.97	PS
K07645	two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]	9	439.2	PS
K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	508	234.93	PS
K07648	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	2	561.1	PS
K07649	two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]	26	414.17	PS
K07650	two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]	1	257.03	PS
K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	8	465.73	PS
K07653	two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]	42	367.63	PS
K07654	two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]	38	327.4	PS
K07657	two-component system, OmpR family, phosphate regulon response regulator PhoB	77	304.2	PS
K07658	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	8	339.87	PS
K07659	two-component system, OmpR family, phosphate regulon response regulator OmpR	18	335.07	PS
K07660	two-component system, OmpR family, response regulator PhoP	16	289.07	PS
K07661	two-component system, OmpR family, response regulator RstA	1	313.37	PS
K07662	two-component system, OmpR family, response regulator CpxR	16	291.17	PS
K07663	two-component system, OmpR family, catabolic regulation response regulator CreB	6	271.43	PS
K07664	two-component system, OmpR family, response regulator BaeR	3	283.2	PS
K07665	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	60	323.43	PS
K07666	two-component system, OmpR family, response regulator QseB	13	302.93	PS
K07667	two-component system, OmpR family, KDP operon response regulator KdpE	390	285.3	PS
K07668	two-component system, OmpR family, response regulator VicR	3	336.13	PS
K07669	two-component system, OmpR family, response regulator MprA	102	324.9	PS
K07670	two-component system, OmpR family, response regulator MtrA	24	310.23	PS
K07673	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]	12	489.57	PS
K07682	two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]	52	214.27	PS
K07692	two-component system, NarL family, response regulator DegU	19	260.7	PS
K07695	two-component system, NarL family, response regulator DevR	68	247.17	PS
K07714	two-component system, NtrC family, response regulator AtoC	81	562.87	PS
K07738	transcriptional repressor NrdR	199	43.87	PS
K07768	two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]	45	349.6	PS
K07772	two-component system, OmpR family, torCAD operon response regulator TorR	2	299	PS
K07774	two-component system, OmpR family, response regulator TctD	19	290.4	PS
K07775	two-component system, OmpR family, response regulator ResD	7	311.1	PS
K07776	two-component system, OmpR family, response regulator RegX3	114	318.1	PS
K08068	UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	2	436.83	PS
K08174	MFS transporter, FHS family, glucose/mannose:H+ symporter	16	204.13	PS
K08225	MFS transporter, ENTS family, enterobactin (siderophore) exporter	65	251.2	PS
K08482	circadian clock protein KaiC	132	131.7	PS
K08484	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]	43	690.03	PS
K08640	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	10	60.87	PS
K08641	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	43	53.93	PS
K08678	UDP-glucuronate decarboxylase [EC:4.1.1.35]	36	508.37	PS
K08679	UDP-glucuronate 4-epimerase [EC:5.1.3.6]	73	361.5	PS
K09017	TetR/AcrR family transcriptional regulator	53	124.53	PS
K09539	DnaJ homolog subfamily C member 19	8	76.47	PS
K09748	ribosome maturation factor RimP	188	26.67	PS
K09762	cell division protein WhiA	34	95.33	PS
K09806	ubiquinone biosynthesis accessory factor UbiK	59	34.5	PS
K09823	Fur family transcriptional regulator, zinc uptake regulator	35	99	PS
K09825	Fur family transcriptional regulator, peroxide stress response regulator	11	158.97	PS
K09826	Fur family transcriptional regulator, iron response regulator	28	113.1	PS
K09882	cobaltochelatase CobS [EC:6.6.1.2]	29	175.63	PS
K09883	cobaltochelatase CobT [EC:6.6.1.2]	36	124.17	PS
K09949	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	66	115.8	PS
K10715	two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]	16	628.3	PS
K10726	replicative DNA helicase Mcm [EC:5.6.2.3]	16	643.27	PS
K10778	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]	99	208.2	PS
K10834	heme transport system ATP-binding protein [EC:7.6.2.5]	4	311.33	PS
K10913	TetR/AcrR family transcriptional regulator, hemagglutinin/protease regulatory protein	2	167.33	PS
K10924	MSHA pilin protein MshA	13	119	PS
K10925	MSHA pilin protein MshB	4	118.27	PS
K10926	MSHA pilin protein MshC	17	82.73	PS
K10927	MSHA pilin protein MshD	20	69.53	PS
K10979	DNA end-binding protein Ku	108	105.53	PS
K11329	two-component system, OmpR family, response regulator RpaB	1	319.47	PS
K11355	two-component system, chemotaxis family, response regulator Rcp1	21	172.83	PS
K11618	two-component system, NarL family, response regulator LiaR	8	272.97	PS
K11690	C4-dicarboxylate transporter, DctM subunit	145	110.17	PS
K11751	5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]	3	471.43	PS
K11927	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	148	554.2	PS
K12056	conjugal transfer mating pair stabilization protein TraG	17	89.1	PS
K12071	conjugal transfer pilus assembly protein TraD	8	271.33	PS
K12152	phosphatase NudJ [EC:3.6.1.-]	28	92.33	PS
K12210	intracellular multiplication protein IcmF	1	1488.77	PS
K12243	AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors	5	191.63	PS
K12276	MSHA biogenesis protein MshE	17	728.57	PS
K12278	MSHA biogenesis protein MshG	16	468.37	PS
K12279	MSHA biogenesis protein MshI	17	140.47	PS
K12280	MSHA biogenesis protein MshJ	16	103.43	PS
K12281	MSHA biogenesis protein MshK	17	49.1	PS
K12282	MSHA biogenesis protein MshL	24	380.67	PS
K12283	MSHA biogenesis protein MshM	23	367.63	PS
K12284	MSHA biogenesis protein MshN	17	100.73	PS
K12285	MSHA biogenesis protein MshO	11	78.73	PS
K12286	MSHA biogenesis protein MshP	12	53.57	PS
K12287	MSHA biogenesis protein MshQ	11	177.57	PS
K12449	UDP-apiose/xylose synthase	1	303.13	PS
K12962	undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE	5	82.37	PS
K13015	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	74	449.53	PS
K13016	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	2	333.37	PS
K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	61	463.73	PS
K13018	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]	41	137.77	PS
K13019	UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	5	473.37	PS
K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	58	252.47	PS
K13256	protein PsiE	52	28.23	PS
K13529	AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	62	335.87	PS
K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	325	357.67	PS
K13633	AraC family transcriptional regulator, transcriptional activator FtrA	33	279.93	PS
K13641	IclR family transcriptional regulator, acetate operon repressor	43	264.8	PS
K13652	AraC family transcriptional regulator	7	207.73	PS
K13770	TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein	9	133.57	PS
K13798	DNA-directed RNA polymerase subunit B [EC:2.7.7.6]	13	1504	PS
K13924	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	59	379.13	PS
K14056	HTH-type transcriptional regulator, repressor for puuD	7	121.67	PS
K14063	AraC family transcriptional regulator, positive regulator of tynA and feaB	33	153.9	PS
K14161	protein ImuB	89	214.43	PS
K14680	putative RNA ligase [EC:6.5.1.-]	2	175.9	PS
K14952	UDP-MurNAc hydroxylase	14	252.43	PS
K14980	two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]	30	316.8	PS
K14981	two-component system, OmpR family, response regulator ChvI	28	266.27	PS
K14982	two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]	7	307.3	PS
K14986	two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]	50	333.83	PS
K15539	cytoskeleton protein RodZ	157	58.07	PS
K15782	Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes	7	164.4	PS
K15792	MurE/MurF fusion protein [EC:6.3.2.13 6.3.2.10]	2	818.53	PS
K15894	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]	19	299.2	PS
K15897	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]	6	133.57	PS
K16135	LysR family transcriptional regulator, transcriptional activator for dmlA	9	333.17	PS
K16137	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon	152	105.73	PS
K16138	TetR/AcrR family transcriptional regulator, repressor for uid operon	3	156.97	PS
K16363	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	9	415.27	PS
K16697	teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]	22	311.07	PS
