rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_2608_length_23900_cov_12.207633	1	23900	5118	23900	100	22.6851	35.9	45.3
NODE_2723_length_23147_cov_13.692101	1	23147	2515	23147	100	15.8019	35.8	58.5
NODE_2731_length_23132_cov_11.469818	1	23132	3757	23132	100	18.7623	35.9	50.7
NODE_2869_length_22395_cov_13.523814	1	22395	3464	22395	100	18.9647	35.8	48.2
NODE_2882_length_22263_cov_12.506889	1	22263	3535	22263	100	21.0879	35.8	44.2
NODE_2985_length_21653_cov_10.607464	1	21653	3359	21653	100	17.8098	35.8	50.3
NODE_3024_length_21459_cov_13.281116	1	21459	5507	21459	100	28.2127	35.7	42.7
NODE_3040_length_21338_cov_12.064465	1	21338	2268	21338	100	15.2987	35.8	58.6
NODE_3077_length_21103_cov_13.545895	1	21103	3568	21100	99.9858	19.7016	35.9	46.4
NODE_3154_length_20579_cov_13.330101	1	20579	7221	20579	100	34.6554	36	42.2
NODE_3191_length_20306_cov_14.142314	1	20306	7063	20273	99.8375	34.7929	35.9	39.4
NODE_3280_length_19884_cov_13.217964	1	19884	5731	19884	100	31.7559	35.8	38.8
NODE_3376_length_19444_cov_11.153076	1	19444	8662	19346	99.496	47.6699	36	42.1
NODE_3455_length_19070_cov_12.464949	1	19070	5292	19048	99.8846	30.4044	35.9	42
NODE_3520_length_18856_cov_13.530397	1	18856	2320	18856	100	16.0917	35.8	51.6
NODE_3589_length_18552_cov_12.075688	1	18552	6137	18552	100	35.6628	35.8	49
NODE_3629_length_18411_cov_15.329048	1	18411	7525	18314	99.4731	53.115	35.6	41
NODE_3668_length_18251_cov_12.416795	1	18251	3145	18251	100	18.9046	36	42.1
NODE_3712_length_18064_cov_14.020934	1	18064	7231	18064	100	37.2235	35.8	37.8
NODE_3732_length_18008_cov_13.155239	1	18008	3194	18008	100	19.1356	35.8	51.3
NODE_3760_length_17894_cov_13.856718	1	17894	8746	17894	100	42.7879	36	38.1
NODE_3768_length_17868_cov_13.938247	1	17868	2313	17868	100	17.497	35.7	52.9
NODE_3793_length_17761_cov_15.543601	1	17761	2237	17761	100	17.6763	35.9	51.5
NODE_3871_length_17420_cov_13.881774	1	17420	2024	17420	100	16.615	35.8	56.2
NODE_4017_length_16918_cov_16.444701	1	16918	6198	16876	99.7517	41.4762	35.9	35.2
NODE_4079_length_16732_cov_13.561852	1	16732	7728	16732	100	45.5252	36	40.6
NODE_4327_length_15836_cov_13.277739	1	15836	1960	15836	100	16.3896	35.7	53.5
NODE_4331_length_15833_cov_12.086323	1	15833	7359	15829	99.9747	41.5442	35.9	44.5
NODE_4349_length_15746_cov_14.402205	1	15746	3874	15746	100	28.0586	35.8	48.3
NODE_4362_length_15696_cov_13.279394	1	15696	5595	15696	100	37.8479	35.9	38.9
NODE_4375_length_15678_cov_13.848301	1	15678	2958	15678	100	20.77	35.9	48.2
NODE_4466_length_15401_cov_13.332204	1	15401	1629	15401	100	14.9068	35.9	50.8
NODE_4519_length_15263_cov_36.333772	1	15263	4339	15263	100	41.7381	35.7	59.3
NODE_4711_length_14731_cov_12.954075	1	14731	3903	14731	100	22.5979	35.9	30
NODE_4739_length_14651_cov_13.108934	1	14651	1775	14651	100	15.8874	35.8	55.7
NODE_4746_length_14635_cov_15.601509	1	14635	9949	14635	100	54.8504	35.9	42.3
NODE_4790_length_14511_cov_12.081558	1	14511	1567	14511	100	14.2871	35.9	56.9
NODE_4953_length_14060_cov_15.841342	1	14060	3380	14060	100	23.8045	35.8	36.6
NODE_5066_length_13804_cov_14.496400	1	13804	6023	13804	100	43.0798	35.9	40.8
NODE_5158_length_13593_cov_12.846137	1	13593	2421	13593	100	20.6589	35.9	46.1
NODE_5159_length_13593_cov_11.255946	1	13593	1458	13593	100	14.6509	35.8	55.5
NODE_5274_length_13343_cov_10.714028	1	13343	1320	13341	99.985	13.7706	35.7	56.1
NODE_5532_length_12760_cov_6.121448	1	12760	760	12760	100	8.16818	35.9	56.9
NODE_5559_length_12711_cov_14.295354	1	12711	2258	12711	100	21.6314	35.8	46.3
NODE_5618_length_12624_cov_13.282600	1	12624	1695	12624	100	17.5245	35.9	54.1
NODE_5715_length_12422_cov_12.624323	1	12422	4217	12422	100	31.857	36	27.5
NODE_5843_length_12161_cov_14.011730	1	12161	8503	12161	100	63.7598	36	32.4
NODE_5859_length_12123_cov_6.097116	1	12123	1641	12123	100	12.0294	35.8	45.3
NODE_5952_length_11939_cov_11.224083	1	11939	1077	11939	100	13.2932	35.9	59.1
NODE_6126_length_11601_cov_12.694093	1	11601	1233	11601	100	14.5186	35.8	54.7
NODE_6130_length_11593_cov_15.893656	1	11593	5877	11593	100	56.6042	36	40.1
NODE_6241_length_11383_cov_11.448711	1	11383	5365	11383	100	40.2825	35.9	42.1
NODE_6340_length_11191_cov_13.469468	1	11191	1714	11191	100	17.6605	35.7	43.7
NODE_6416_length_11067_cov_6.616328	1	11067	963	11067	100	10.8365	35.7	51.5
NODE_6419_length_11062_cov_28.135732	1	11062	2729	11062	100	35.2337	35.6	59.7
NODE_6438_length_11019_cov_10.994801	1	11019	2277	10991	99.7459	22.8816	35.8	43
NODE_6484_length_10927_cov_14.169886	1	10927	3084	10886	99.6248	23.4145	35.7	42.5
NODE_6505_length_10897_cov_14.973990	1	10897	3725	10897	100	34.3303	35.8	39.7
NODE_6538_length_10835_cov_22.561224	1	10835	4475	10835	100	49.7581	35.8	53
NODE_6554_length_10806_cov_12.155985	1	10806	4003	10806	100	30.2871	35.9	43.6
NODE_6584_length_10759_cov_16.596226	1	10759	3962	10759	100	38.2705	35.9	36.4
NODE_6810_length_10425_cov_12.038959	1	10425	1423	10262	98.4365	17.9771	35.8	24.7
NODE_6839_length_10373_cov_10.751115	1	10373	3057	10373	100	30.9863	35.9	34.9
NODE_6954_length_10183_cov_12.457148	1	10183	2611	10183	100	31.9648	35.7	42.6
NODE_6970_length_10149_cov_11.798593	1	10149	2770	10149	100	23.7742	35.9	44.2
NODE_6984_length_10132_cov_13.823261	1	10132	3347	10132	100	39.8439	35.9	54.3
NODE_7116_length_9937_cov_21.847804	1	9937	5231	9937	100	56.0976	36	46.2
NODE_7180_length_9861_cov_17.153885	1	9861	8066	9861	100	97.7249	35.8	36.8
NODE_7289_length_9698_cov_13.035570	1	9698	1148	9698	100	15.0766	35.7	49.6
NODE_7311_length_9671_cov_13.339226	1	9671	1254	9671	100	17.7956	35.9	53.9
NODE_7363_length_9605_cov_15.477592	1	9605	1274	9605	100	17.3286	35.8	51.7
NODE_7492_length_9416_cov_38.278603	1	9416	3167	9416	100	46.9787	35.8	55.9
NODE_7539_length_9347_cov_13.389582	1	9347	4044	9347	100	37.0138	35.9	41.9
NODE_7639_length_9220_cov_14.148500	1	9220	2105	9220	100	25.0162	36	49.7
NODE_7748_length_9075_cov_33.617073	1	9075	2432	9075	100	38.8803	35.8	59.5
NODE_7869_length_8930_cov_12.107155	1	8930	888	8930	100	14.0588	35.8	54.6
NODE_7893_length_8895_cov_12.080769	1	8895	919	8895	100	13.3789	35.8	50.1
NODE_8036_length_8711_cov_13.591728	1	8711	1555	8711	100	19.5347	35.9	39.2
NODE_8134_length_8601_cov_13.540136	1	8601	1083	8601	100	16.8201	35.8	55.1
NODE_8260_length_8456_cov_16.804904	1	8456	2196	8456	100	29.1229	35.8	45.7
NODE_8271_length_8442_cov_20.988554	1	8442	6436	8442	100	86.6367	35.9	54.3
NODE_8331_length_8378_cov_14.565902	1	8378	1053	8378	100	16.2055	35.6	50.1
NODE_8548_length_8134_cov_13.225523	1	8134	1252	8111	99.7172	18.7396	35.8	43.7
NODE_8624_length_8044_cov_6.320816	1	8044	889	8044	100	14.0658	35.7	40.1
NODE_8638_length_8020_cov_15.556811	1	8020	3412	8020	100	43.8766	35.8	37.8
NODE_8759_length_7897_cov_14.128666	1	7897	935	7897	100	15.9943	35.9	54.1
NODE_8788_length_7855_cov_10.530385	1	7855	759	7855	100	12.9989	35.7	57.4
NODE_8792_length_7853_cov_16.719543	1	7853	5107	7853	100	83.2371	36	28.9
NODE_8803_length_7843_cov_12.771828	1	7843	1106	7843	100	18.3936	35.9	49.7
NODE_9012_length_7632_cov_11.926488	1	7632	1007	7632	100	16.4851	35.8	54.8
NODE_9030_length_7613_cov_10.719767	1	7613	758	7613	100	13.9505	35.9	57.8
NODE_9095_length_7547_cov_12.132942	1	7547	753	7547	100	14.5262	35.8	57.5
NODE_9316_length_7356_cov_12.898644	1	7356	853	7356	100	15.8929	35.7	54.8
NODE_9368_length_7301_cov_36.639249	1	7301	3021	7301	100	51.825	35.7	53.3
NODE_9439_length_7242_cov_12.373313	1	7242	1485	7241	99.9862	19.7183	35.9	54.8
NODE_9475_length_7207_cov_14.065996	1	7207	1122	7207	100	17.5336	35.9	52.4
NODE_9529_length_7157_cov_7.604900	1	7157	5443	7157	100	81.5178	36.1	49.7
NODE_9538_length_7151_cov_14.194476	1	7151	790	7151	100	16.3646	35.7	59
NODE_9780_length_6947_cov_35.882182	1	6947	2173	6947	100	43.0638	35.7	59.4
NODE_9899_length_6857_cov_11.816819	1	6857	654	6857	100	14.1782	35.7	59.8
NODE_9941_length_6825_cov_12.143722	1	6825	884	6825	100	16.9037	35.9	48.3
NODE_10104_length_6705_cov_14.929624	1	6705	1060	6705	100	17.7585	35.9	44.9
NODE_10294_length_6562_cov_6.600891	1	6562	379	6562	100	8.42533	35.9	59.6
NODE_10356_length_6517_cov_12.628907	1	6517	667	6517	100	14.5791	35.7	57.1
NODE_10359_length_6513_cov_11.639672	1	6513	720	6513	100	15.3307	35.8	56.3
NODE_10480_length_6448_cov_19.541686	1	6448	1575	6448	100	30.279	35.9	53.8
NODE_10570_length_6392_cov_13.704434	1	6392	664	6392	100	14.8922	35.8	57.5
NODE_10812_length_6210_cov_10.518278	1	6210	560	6210	100	12.8826	35.8	57.6
NODE_10837_length_6191_cov_15.074967	1	6191	785	6191	100	18.2006	35.8	55.3
NODE_10931_length_6118_cov_20.356424	1	6118	2019	6118	100	41.6845	35.8	53.6
NODE_10979_length_6090_cov_12.979785	1	6090	663	6090	100	15.1719	35.8	55.5
NODE_11123_length_5999_cov_31.198688	1	5999	1656	5911	98.5331	39.171	35.9	58.6
NODE_11342_length_5854_cov_10.883946	1	5854	564	5854	100	13.2837	35.6	53.9
NODE_11387_length_5829_cov_12.482335	1	5829	608	5829	100	15.1376	35.9	58.3
NODE_11392_length_5825_cov_16.726516	1	5825	2115	5825	100	36.8709	35.8	45.9
NODE_11534_length_5735_cov_6.375528	1	5735	282	5697	99.3374	7.29538	35.8	56.1
NODE_11550_length_5725_cov_16.848148	1	5725	653	5725	100	16.1691	35.9	54.8
NODE_11676_length_5657_cov_11.215637	1	5657	654	5657	100	14.0115	35.9	52.7
NODE_11776_length_5599_cov_12.849026	1	5599	726	5599	100	16.2029	35.9	48.3
NODE_11814_length_5580_cov_10.697738	1	5580	518	5580	100	13.1943	35.6	57.4
NODE_11940_length_5510_cov_12.070211	1	5510	554	5510	100	13.953	35.9	57.9
NODE_12044_length_5458_cov_11.949287	1	5458	8660	5458	100	196.806	36	55.7
NODE_12143_length_5408_cov_12.042967	1	5408	3843	5408	100	63.821	36	49.7
NODE_12205_length_5373_cov_18.278488	1	5373	23891	5373	100	533.133	35.9	37.6
NODE_12361_length_5287_cov_14.013188	1	5287	1116	5287	100	21.4381	35.9	44
NODE_12369_length_5282_cov_6.104075	1	5282	297	5282	100	7.83094	35.8	56.2
NODE_12465_length_5234_cov_10.031666	1	5234	1340	5234	100	24.1527	35.5	45.2
NODE_12581_length_5184_cov_15.085982	1	5184	600	5184	100	16.1036	35.9	53.2
NODE_12672_length_5147_cov_6.183425	1	5147	408	5147	100	8.12318	35.9	35.5
NODE_12880_length_5059_cov_10.806954	1	5059	3937	5059	100	82.2694	35.8	43.2
NODE_13164_length_4936_cov_12.449293	1	4936	707	4936	100	15.1797	35.9	42.5
NODE_13285_length_4889_cov_9.938353	1	4889	561	4889	100	15.2902	35.6	51.1
NODE_13343_length_4868_cov_15.722211	1	4868	2510	4868	100	74.1898	35.8	36.9
NODE_13398_length_4842_cov_5.429079	1	4842	2209	4842	100	37.7115	35.9	45.4
NODE_13483_length_4802_cov_13.793133	1	4802	4562	4802	100	117.032	35.9	43.5
NODE_13495_length_4799_cov_9.004848	1	4799	240	4690	97.7287	6.87789	35.7	38.4
NODE_13559_length_4774_cov_29.276542	1	4774	4330	4771	99.9372	100.901	35.8	37.1
NODE_13590_length_4761_cov_8.943689	1	4761	1127	4761	100	19.0582	35.8	40.9
NODE_13938_length_4622_cov_6.519378	1	4622	373	4523	97.8581	10.746	35.7	48.1
NODE_13954_length_4616_cov_12.295988	1	4616	3744	4616	100	98.6261	35.9	50.9
NODE_14059_length_4577_cov_15.627156	1	4577	1802	4577	100	45.1468	35.7	53.5
NODE_14081_length_4569_cov_11.859327	1	4569	559	4569	100	16.23	35.8	56.7
NODE_14089_length_4566_cov_15.634892	1	4566	967	4566	100	24.5007	35.8	46
NODE_14189_length_4525_cov_15.390157	1	4525	14003	4525	100	430.067	35.9	38.7
NODE_14205_length_4517_cov_13.155760	1	4517	511	4517	100	16.3055	35.8	57.7
NODE_14217_length_4514_cov_13.000449	1	4514	1671	4514	100	40.025	35.9	35.9
NODE_14365_length_4461_cov_5.847254	1	4461	1411	4461	100	20.5503	35.9	47.8
NODE_14536_length_4399_cov_13.793508	1	4399	480	4399	100	15.6979	36	56.3
NODE_14621_length_4371_cov_11.151529	1	4371	439	4371	100	14.2784	36	56.1
NODE_14667_length_4354_cov_5.626425	1	4354	540	4344	99.7703	13.2586	35.9	38.9
NODE_14729_length_4335_cov_11.312383	1	4335	434	4335	100	13.7241	35.6	56.7
NODE_14741_length_4330_cov_10.606550	1	4330	1744	4330	100	42.7612	36	53.1
NODE_14831_length_4300_cov_12.323910	1	4300	395	4292	99.814	13.6844	36	59.7
NODE_14832_length_4300_cov_11.093286	1	4300	410	4278	99.4884	13.6363	35.6	54.4
NODE_14875_length_4284_cov_6.456373	1	4284	2324	4275	99.7899	60.1809	36	35.7
NODE_14940_length_4266_cov_4.971741	1	4266	231	4266	100	7.07126	35.7	52.8
NODE_15291_length_4157_cov_6.672111	1	4157	1373	4157	100	31.7082	35.7	23.3
NODE_15304_length_4155_cov_13.592683	1	4155	507	4155	100	16.7889	35.8	57.4
NODE_15439_length_4126_cov_11.738639	1	4126	4298	4126	100	133.152	35.9	46.1
NODE_15492_length_4111_cov_3.384615	1	4111	109	4111	100	3.72172	36.1	57.3
NODE_15585_length_4080_cov_6.184099	1	4080	1561	4080	100	30.8993	35.6	36.1
NODE_15683_length_4052_cov_71.585689	1	4052	3774	4052	100	107.4	35.9	57.2
NODE_15807_length_4024_cov_12.983875	1	4024	487	4024	100	15.5005	35.8	52.2
NODE_15863_length_4009_cov_14.988366	1	4009	2851	4009	100	85.6428	36	38.9
NODE_15883_length_4004_cov_5.420866	1	4004	215	3905	97.5275	7.20055	35.9	56.4
NODE_16011_length_3970_cov_13.299872	1	3970	422	3970	100	15.2995	35.8	58.1
NODE_16285_length_3898_cov_11.226386	1	3898	389	3897	99.9743	13.275	35.7	51
NODE_16295_length_3896_cov_11.732361	1	3896	2401	3896	100	49.1037	35.9	39.2
NODE_16312_length_3892_cov_11.805838	1	3892	421	3892	100	14.6005	35.8	53.1
NODE_16402_length_3870_cov_13.586894	1	3870	983	3870	100	32.4483	35.9	44.9
NODE_16506_length_3844_cov_12.729480	1	3844	449	3844	100	16.1644	35.7	54.5
NODE_16547_length_3834_cov_14.242392	1	3834	416	3834	100	15.8753	35.7	59.2
NODE_16702_length_3793_cov_13.746656	1	3793	3717	3793	100	125.054	35.9	26
NODE_16734_length_3783_cov_15.952790	1	3783	3181	3783	100	77.8583	36	47.6
NODE_16822_length_3765_cov_16.003235	1	3765	2922	3765	100	99.1286	36	27.9
NODE_16875_length_3754_cov_6.369019	1	3754	489	3754	100	15.4217	36	52.6
NODE_16884_length_3751_cov_11.451028	1	3751	854	3751	100	29.0304	35.9	43.5
NODE_17160_length_3692_cov_9.323893	1	3692	146	3632	98.3749	5.82232	35.7	34
NODE_17293_length_3662_cov_6.143055	1	3662	1704	3662	100	45.0901	35.9	38.4
NODE_17386_length_3643_cov_14.987737	1	3643	426	3643	100	16.9564	35.9	55.4
NODE_17455_length_3627_cov_5.741321	1	3627	296	3627	100	9.8241	35.7	50.4
NODE_17629_length_3586_cov_10.707732	1	3586	1235	3586	100	38.3179	36	44.9
NODE_17832_length_3544_cov_5.159645	1	3544	351	3544	100	12.1394	35.8	40.1
NODE_18137_length_3485_cov_14.115160	1	3485	1427	3485	100	48.963	35.7	42.4
NODE_18212_length_3471_cov_19.120316	1	3471	6231	3421	98.5595	234.542	35.8	55.7
NODE_18708_length_3377_cov_6.729079	1	3377	264	3366	99.6743	10.109	35.7	54.5
NODE_18770_length_3367_cov_12.223732	1	3367	336	3367	100	14.0273	35.7	57.1
NODE_18879_length_3349_cov_7.458106	1	3349	232	3349	100	9.11824	35.8	55.1
NODE_19126_length_3308_cov_12.836766	1	3308	1508	3308	100	29.0632	35.9	42.9
NODE_19141_length_3306_cov_50.249462	1	3306	1504	3306	100	52.7883	35.8	56.9
NODE_19144_length_3306_cov_10.788065	1	3306	300	3306	100	13.0638	35.9	57.5
NODE_19145_length_3306_cov_9.784066	1	3306	1034	3306	100	30.7314	36	56.2
NODE_19361_length_3269_cov_5.509023	1	3269	423	3269	100	16.1909	36	55.1
NODE_19865_length_3188_cov_12.522502	1	3188	336	3188	100	15.4749	35.7	59.3
NODE_20544_length_3090_cov_13.592092	1	3090	391	3090	100	17.1162	35.8	50.3
NODE_21267_length_2988_cov_7.417320	1	2988	227	2988	100	10.3705	35.8	57
NODE_21290_length_2986_cov_26.876834	1	2986	2505	2986	100	109.259	35.8	33.3
NODE_21777_length_2925_cov_4.525436	1	2925	760	2925	100	16.96	35.9	41
NODE_22112_length_2886_cov_17.606499	1	2886	861	2879	99.7574	29.034	35.9	39.4
NODE_22216_length_2875_cov_6.625532	1	2875	244	2776	96.5565	11.5683	36	58.9
NODE_22742_length_2817_cov_18.390297	1	2817	1141	2817	100	34.5328	35.8	54.7
NODE_22748_length_2816_cov_12.254980	1	2816	2474	2816	100	66.1942	36	41.3
NODE_23058_length_2779_cov_12.112702	1	2779	1027	2779	100	42.3174	35.7	30.5
NODE_23259_length_2757_cov_17.107698	1	2757	2478	2757	100	93.5194	35.9	58.9
NODE_23345_length_2747_cov_13.772660	1	2747	328	2747	100	16.8016	35.7	56.6
NODE_23380_length_2743_cov_5.823661	1	2743	182	2743	100	7.91834	35.8	48.6
NODE_23396_length_2741_cov_6.614669	1	2741	892	2741	100	36.0058	35.9	36.4
NODE_23767_length_2702_cov_10.537968	1	2702	2326	2702	100	77.6503	36	39.6
NODE_23860_length_2694_cov_3.037135	1	2694	79	2694	100	3.81552	35.5	53.9
NODE_23951_length_2684_cov_13.047166	1	2684	1033	2684	100	44.1121	35.9	34.4
NODE_23987_length_2679_cov_15.000000	1	2679	620	2679	100	27.8175	35.9	54.4
NODE_24127_length_2666_cov_34.675220	1	2666	737	2666	100	40.1388	35.9	59.8
NODE_24280_length_2651_cov_14.808166	1	2651	492	2651	100	20.5522	35.8	39.7
NODE_24320_length_2647_cov_4.574846	1	2647	136	2647	100	6.67435	36	56.5
NODE_24364_length_2641_cov_9.379737	1	2641	308	2641	100	15.6975	35.6	56.7
NODE_24449_length_2632_cov_14.994179	1	2632	300	2632	100	15.9601	35.9	55.9
NODE_24533_length_2624_cov_9.573375	1	2624	3551	2624	100	135.546	35.8	35.1
NODE_24631_length_2615_cov_4.660156	1	2615	803	2615	100	19.1897	35.8	56.2
NODE_24882_length_2590_cov_10.426824	1	2590	1487	2590	100	54.7498	35.9	47.3
NODE_25791_length_2507_cov_4.336868	1	2507	78	2507	100	4.66693	36.3	60
NODE_26484_length_2444_cov_10.082043	1	2444	4399	2444	100	242.825	36	33
NODE_26617_length_2430_cov_7.237895	1	2430	250	2272	93.4979	10.4337	35.9	0.16
NODE_26816_length_2413_cov_7.378287	1	2413	124	2328	96.4774	6.74306	35.8	26.6
NODE_27571_length_2354_cov_3.465420	1	2354	32	1975	83.8997	1.98726	35.1	2.88
NODE_27727_length_2341_cov_5.603237	1	2341	232	2341	100	8.86288	35.6	42.7
NODE_27828_length_2334_cov_4.644581	1	2334	218	2302	98.629	11.2554	36	56.4
NODE_28457_length_2286_cov_12.541461	1	2286	135	2286	100	8.29528	36	29.7
NODE_28537_length_2280_cov_5.355955	1	2280	613	2280	100	19.9478	36	40.5
NODE_28545_length_2279_cov_12.450989	1	2279	219	2279	100	13.7196	35.9	56.8
NODE_28898_length_2253_cov_22.223385	1	2253	1989	2253	100	88.2224	35.9	34.1
NODE_29262_length_2228_cov_2.868845	1	2228	51	2228	100	3.41472	35.9	60
NODE_29519_length_2209_cov_23.036676	1	2209	560	2209	100	34.756	36	56.8
NODE_29558_length_2206_cov_29.883775	1	2206	612	2206	100	36.9252	35.8	57.4
NODE_29808_length_2189_cov_34.628866	1	2189	656	2189	100	40.9913	35.7	56.2
NODE_30265_length_2162_cov_15.944945	1	2162	335	2162	100	19.9611	35.7	50.7
NODE_30488_length_2149_cov_17.764088	1	2149	3820	2149	100	154.402	35.9	39.9
NODE_30492_length_2149_cov_6.366285	1	2149	144	2149	100	9.302	35.8	56.8
NODE_30507_length_2148_cov_24.267081	1	2148	419	2148	100	28.5419	35.5	59
NODE_31323_length_2095_cov_6.422059	1	2095	288	2095	100	14.4616	35.9	37.8
NODE_31595_length_2080_cov_18.659753	1	2080	330	2080	100	22.0115	35.5	59.1
NODE_31857_length_2064_cov_38.503733	1	2064	1410	2064	100	77.2762	35.7	52.7
NODE_31888_length_2062_cov_14.598904	1	2062	189	2062	100	13.5126	35.9	59
NODE_31911_length_2061_cov_46.433200	1	2061	784	2061	100	53.2285	35.8	59.8
NODE_32126_length_2050_cov_4.468672	1	2050	667	2050	100	22.84	35.9	37.9
NODE_32223_length_2046_cov_2.784530	1	2046	47	2046	100	3.19159	35.9	56.6
NODE_32254_length_2044_cov_3.486677	1	2044	81	2044	100	4.63796	36.2	57.2
NODE_33075_length_1996_cov_6.540958	1	1996	119	1996	100	8.30611	35.7	58
NODE_33179_length_1990_cov_20.149871	1	1990	3112	1990	100	153.561	35.8	52.7
NODE_33502_length_1972_cov_4.603026	1	1972	126	1972	100	6.71146	35.9	43.7
NODE_34116_length_1939_cov_35.770701	1	1939	708	1939	100	46.0655	35.6	52.8
NODE_34161_length_1936_cov_13.251994	1	1936	774	1936	100	43.8171	35.9	33.2
NODE_34779_length_1908_cov_12.360496	1	1908	176	1908	100	13.4298	35.7	58.3
NODE_34780_length_1908_cov_10.499191	1	1908	179	1908	100	12.7689	35.9	57.5
NODE_34890_length_1902_cov_22.545208	1	1902	4179	1902	100	264.889	35.9	56.8
NODE_35712_length_1862_cov_6.278915	1	1862	163	1862	100	11.6826	35.7	53.7
NODE_35788_length_1858_cov_4.036606	1	1858	75	1858	100	5.38052	35.9	58
NODE_35962_length_1849_cov_28.712932	1	1849	499	1849	100	35.8042	35.8	59.6
NODE_36150_length_1840_cov_18.194398	1	1840	1417	1840	100	96.8321	35.9	30.5
NODE_36325_length_1833_cov_3.817210	1	1833	52	1823	99.4544	4.20185	35.9	57.8
NODE_36414_length_1829_cov_21.940248	1	1829	405	1829	100	27.3417	35.9	58.5
