user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SPAdes-MaxBin2Refined-S3.055_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			85.47	11	0.8456590299702597	
SPAdes-MaxBin2Refined-S3.059_sub	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.73	0.03	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			84.18	11	0.6883610198803745	
SPAdes-MaxBin2Refined-S3.060_sub	d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__						GCA_003244175.1	95.0	d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__QHBP01;s__QHBP01 sp003244175	75.97	0.03	d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__	taxonomic classification defined by topology and ANI			76.04	11	0.818918461835168	Genome has more than 11.7% of markers with multiple hits
SPAdes-MaxBin2Refined-S3.074_sub	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	74.86	0.03	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			82.75	11	0.6882081587340313	Genome has more than 11.7% of markers with multiple hits
SPAdes-MaxBin2Refined-S3.080	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__											d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__	ANI		GCA_003136795.1, s__PALSA-600 sp003136795, 95.0, 80.82, 0.53; GCA_013362295.1, s__PALSA-600 sp013362295, 95.0, 80.56, 0.54; GCA_013821525.1, s__PALSA-600 sp013821525, 95.0, 79.83, 0.46; GCA_903930195.1, s__PALSA-600 sp903930195, 95.0, 79.06, 0.46; GCA_903915545.1, s__PALSA-600 sp903915545, 95.0, 77.96, 0.24; GCA_900299235.1, s__PALSA-600 sp900299235, 95.0, 77.82, 0.3; GCA_009702325.1, s__PALSA-600 sp009702325, 95.0, 77.61, 0.26	77.05	11	0.9184105369495288	Genome has more than 10.0% of markers with multiple hits
SPAdes-MaxBin2Refined-S3.090_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__						GCA_003152195.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__PALSA-350 sp003152195	76.84	0.11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	taxonomic classification defined by topology and ANI			80.25	11	0.916451765778174	Genome has more than 11.7% of markers with multiple hits
SPAdes-MaxBin2Refined-S3.100_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Palsa-601;s__						GCA_003136185.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Palsa-601;s__Palsa-601 sp003136185	77.8	0.34	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	taxonomic classification defined by topology and ANI			64.74	11	0.8842197173565352	
SPAdes-MaxBin2Refined-S3.104_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__	taxonomic classification fully defined by topology			62.06	11	0.9340644730033064	
SPAdes-MaxBin2Refined-S3.105_sub	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA6224;s__						GCA_002441585.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA6224;s__UBA6224 sp002441585	77.03	0.02	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	taxonomic classification defined by topology and ANI			41.77	11	0.8844081384164777	Genome has more than 16.7% of markers with multiple hits
SPAdes-MaxBin2Refined-S3.122_sub	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	74.59	0.02	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			26.62	11	0.6860390952434597	Genome has more than 15.8% of markers with multiple hits
SPAdes-MetaBAT2Refined-S3.101	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__						GCA_002404055.1	95.0	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__UBA4733 sp002404055	80.08	0.46	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI			82.31	11	0.9397395496978388	
SPAdes-MetaBAT2Refined-S3.102_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__						GCA_009785715.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__WQVT01 sp009785715	77.17	0.18	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification defined by topology and ANI			80.07	11	0.8457764922764107	
SPAdes-MetaBAT2Refined-S3.104_sub	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__						GCA_005883415.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp005883415	76.68	0.14	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	taxonomic classification defined by topology and ANI		GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.44, 0.25; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.02, 0.17; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.49, 0.2; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.25, 0.17	43.44	11	0.9152411781521927	
SPAdes-MetaBAT2Refined-S3.107_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			71.15	11	0.7746641764553017	
SPAdes-MetaBAT2Refined-S3.109	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-113;s__						GCA_005881995.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-113;s__CF-113 sp005881995	76.11	0.08	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__	taxonomic classification defined by topology and ANI			86.42	11	0.9022199632453684	
SPAdes-MetaBAT2Refined-S3.10_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			75.84	11	0.7731732163567777	
SPAdes-MetaBAT2Refined-S3.110	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic classification fully defined by topology			78.22	11	0.8137939819949371	
SPAdes-MetaBAT2Refined-S3.114_sub	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	GCF_900088825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	98.83	0.95	GCF_900088825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	98.83	0.95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900089495.1, s__Thiomonas sp900089495, 95.0, 83.29, 0.76; GCA_013044035.1, s__Thiomonas sp013044035, 95.0, 81.71, 0.64; GCF_000377645.1, s__Thiomonas sp000377645, 95.0, 80.24, 0.56; GCF_001418255.1, s__Thiomonas bhubaneswarensis, 95.0, 79.56, 0.49; GCF_000253115.1, s__Thiomonas arsenitoxydans, 95.0, 79.52, 0.52; GCA_011334805.1, s__Thiomonas sp011334805, 95.0, 79.23, 0.4; GCF_002028405.1, s__Thiomonas intermedia, 95.0, 79.19, 0.47; GCF_000733775.1, s__Thiomonas sp000733775, 95.0, 79.07, 0.49	89.48	11		
SPAdes-MetaBAT2Refined-S3.121_sub	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__						GCA_003139545.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__Palsa-739 sp003139545	84.03	0.68	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	taxonomic classification defined by topology and ANI		GCA_003161615.1, s__Palsa-739 sp003161615, 95.0, 80.03, 0.52; GCA_005883365.1, s__Palsa-739 sp005883365, 95.0, 79.84, 0.56; GCA_003152275.1, s__Palsa-739 sp003152275, 95.0, 79.52, 0.52	84.97	11	0.9620710794851852	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S3.124	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			71.97	11	0.7825130662826099	
SPAdes-MetaBAT2Refined-S3.126	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__						GCA_011332985.1	95.0	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__Leptospirillum_A ferriphilum_B	92.79	0.79	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__	taxonomic classification defined by topology and ANI		GCF_000755505.1, s__Leptospirillum_A ferriphilum, 95.0, 77.54, 0.32; GCF_000299235.1, s__Leptospirillum_A rubarum, 95.0, 77.29, 0.32	83.54	11	0.9860870423596334	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S3.128	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__AG-12;s__						GCA_013044295.1	95.0	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__AG-12;s__AG-12 sp013044295	78.5	0.36	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__;s__	taxonomic classification defined by topology and ANI			90.57	11	0.8825131217249476	
SPAdes-MetaBAT2Refined-S3.129	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__JABEUX01;s__											d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__	taxonomic novelty determined using RED			91.13	11	0.9878080750240856	
SPAdes-MetaBAT2Refined-S3.133	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__											d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__	taxonomic classification fully defined by topology			85.55	11	0.8048868294241973	
SPAdes-MetaBAT2Refined-S3.137_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	taxonomic classification fully defined by topology			62.87	11	0.8246583145177692	
SPAdes-MetaBAT2Refined-S3.14	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__						GCA_009785715.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__WQVT01 sp009785715	77.37	0.24	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification defined by topology and ANI			90.83	11	0.8424506386456851	
SPAdes-MetaBAT2Refined-S3.140	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__QHCA01;g__;s__						GCA_003244095.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__QHCA01;g__QHCA01;s__QHCA01 sp003244095	77.44	0.28	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			90.27	11	0.8083705091141957	
SPAdes-MetaBAT2Refined-S3.141	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__											d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__	taxonomic novelty determined using RED			87.51	11	0.8357082307461008	
SPAdes-MetaBAT2Refined-S3.142	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic classification fully defined by topology			92.28	11	0.6485256870198576	
SPAdes-MetaBAT2Refined-S3.143	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__	taxonomic novelty determined using RED			98.47	11	0.7266722686259859	
SPAdes-MetaBAT2Refined-S3.144	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__						GCA_001443375.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__CSP1-4;s__CSP1-4 sp001443375	78.38	0.37	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__	taxonomic classification defined by topology and ANI			90.75	11	0.8488724079522051	
SPAdes-MetaBAT2Refined-S3.145_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			77.53	11	0.8461031826424528	Genome has more than 10.0% of markers with multiple hits
SPAdes-MetaBAT2Refined-S3.148	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic novelty determined using RED			91.66	11	0.8225050462183681	
SPAdes-MetaBAT2Refined-S3.149	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.49	0.04	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			83.38	11	0.6767721824889548	
SPAdes-MetaBAT2Refined-S3.150_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			79.29	11	0.7741277669796023	
SPAdes-MetaBAT2Refined-S3.152	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__						GCA_003541285.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__UBA9676 sp003541285	78.83	0.36	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	taxonomic classification defined by topology and ANI			83.12	11	0.9127850444019928	
SPAdes-MetaBAT2Refined-S3.153	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic novelty determined using RED			73.34	11	0.8711375633205263	
