contig	bin
NODE_1386_length_37188_cov_12.564431	SPAdes-MetaBAT2Refined-S15.73
NODE_1410_length_36805_cov_11.051020	SPAdes-MetaBAT2Refined-S15.73
NODE_1420_length_36606_cov_12.447211	SPAdes-MetaBAT2Refined-S15.73
NODE_14249_length_4502_cov_12.102991	SPAdes-MetaBAT2Refined-S15.73
NODE_1429_length_36486_cov_12.700338	SPAdes-MetaBAT2Refined-S15.73
NODE_1471_length_35494_cov_11.888682	SPAdes-MetaBAT2Refined-S15.73
NODE_14820_length_4304_cov_11.301483	SPAdes-MetaBAT2Refined-S15.73
NODE_15178_length_4191_cov_18.143617	SPAdes-MetaBAT2Refined-S15.73
NODE_1550_length_34300_cov_12.111812	SPAdes-MetaBAT2Refined-S15.73
NODE_1584_length_33911_cov_11.374646	SPAdes-MetaBAT2Refined-S15.73
NODE_158_length_114338_cov_12.527629	SPAdes-MetaBAT2Refined-S15.73
NODE_16188_length_3923_cov_12.164943	SPAdes-MetaBAT2Refined-S15.73
NODE_1642_length_33395_cov_12.270966	SPAdes-MetaBAT2Refined-S15.73
NODE_16451_length_3858_cov_18.683408	SPAdes-MetaBAT2Refined-S15.73
NODE_16501_length_3845_cov_8.752507	SPAdes-MetaBAT2Refined-S15.73
NODE_1654_length_33201_cov_11.914349	SPAdes-MetaBAT2Refined-S15.73
NODE_1708_length_32509_cov_12.441147	SPAdes-MetaBAT2Refined-S15.73
NODE_1736_length_32173_cov_11.516346	SPAdes-MetaBAT2Refined-S15.73
NODE_1767_length_31797_cov_11.686472	SPAdes-MetaBAT2Refined-S15.73
NODE_1777_length_31622_cov_11.817373	SPAdes-MetaBAT2Refined-S15.73
NODE_1778_length_31615_cov_12.066001	SPAdes-MetaBAT2Refined-S15.73
NODE_1847_length_30770_cov_11.326681	SPAdes-MetaBAT2Refined-S15.73
NODE_1874_length_30466_cov_11.860544	SPAdes-MetaBAT2Refined-S15.73
NODE_1883_length_30344_cov_12.323550	SPAdes-MetaBAT2Refined-S15.73
NODE_19449_length_3254_cov_10.907471	SPAdes-MetaBAT2Refined-S15.73
NODE_19654_length_3223_cov_10.820391	SPAdes-MetaBAT2Refined-S15.73
NODE_1995_length_28977_cov_11.797317	SPAdes-MetaBAT2Refined-S15.73
NODE_20302_length_3124_cov_22.632779	SPAdes-MetaBAT2Refined-S15.73
NODE_2039_length_28490_cov_12.072868	SPAdes-MetaBAT2Refined-S15.73
NODE_21083_length_3013_cov_11.066599	SPAdes-MetaBAT2Refined-S15.73
NODE_2111_length_27954_cov_12.773899	SPAdes-MetaBAT2Refined-S15.73
NODE_21694_length_2935_cov_11.287500	SPAdes-MetaBAT2Refined-S15.73
NODE_2266_length_26558_cov_11.866619	SPAdes-MetaBAT2Refined-S15.73
NODE_2273_length_26484_cov_12.497446	SPAdes-MetaBAT2Refined-S15.73
NODE_229_length_98979_cov_12.413863	SPAdes-MetaBAT2Refined-S15.73
NODE_2327_length_26008_cov_11.704851	SPAdes-MetaBAT2Refined-S15.73
NODE_2374_length_25576_cov_11.636260	SPAdes-MetaBAT2Refined-S15.73
NODE_2434_length_25143_cov_11.088170	SPAdes-MetaBAT2Refined-S15.73
NODE_2448_length_24993_cov_12.245248	SPAdes-MetaBAT2Refined-S15.73
NODE_2469_length_24871_cov_12.630601	SPAdes-MetaBAT2Refined-S15.73
NODE_2662_length_23527_cov_11.658061	SPAdes-MetaBAT2Refined-S15.73
NODE_2734_length_23131_cov_11.486393	SPAdes-MetaBAT2Refined-S15.73
NODE_28039_length_2315_cov_11.232743	SPAdes-MetaBAT2Refined-S15.73
NODE_28900_length_2253_cov_7.146952	SPAdes-MetaBAT2Refined-S15.73
NODE_2936_length_21988_cov_10.736379	SPAdes-MetaBAT2Refined-S15.73
NODE_29644_length_2201_cov_9.194781	SPAdes-MetaBAT2Refined-S15.73
NODE_31371_length_2092_cov_18.668630	SPAdes-MetaBAT2Refined-S15.73
NODE_327_length_83291_cov_12.074259	SPAdes-MetaBAT2Refined-S15.73
NODE_330_length_82864_cov_11.826770	SPAdes-MetaBAT2Refined-S15.73
NODE_3354_length_19535_cov_13.045072	SPAdes-MetaBAT2Refined-S15.73
NODE_340_length_82057_cov_12.759725	SPAdes-MetaBAT2Refined-S15.73
NODE_3486_length_18967_cov_22.084602	SPAdes-MetaBAT2Refined-S15.73
NODE_3683_length_18186_cov_11.375876	SPAdes-MetaBAT2Refined-S15.73
NODE_3697_length_18101_cov_11.418597	SPAdes-MetaBAT2Refined-S15.73
NODE_380_length_78127_cov_12.141241	SPAdes-MetaBAT2Refined-S15.73
NODE_39259_length_1712_cov_14.693422	SPAdes-MetaBAT2Refined-S15.73
NODE_399_length_75747_cov_12.206244	SPAdes-MetaBAT2Refined-S15.73
NODE_400_length_75699_cov_11.434245	SPAdes-MetaBAT2Refined-S15.73
NODE_4178_length_16384_cov_10.838386	SPAdes-MetaBAT2Refined-S15.73
NODE_43164_length_1572_cov_11.270270	SPAdes-MetaBAT2Refined-S15.73
NODE_43707_length_1556_cov_14.864757	SPAdes-MetaBAT2Refined-S15.73
NODE_439_length_73371_cov_12.561010	SPAdes-MetaBAT2Refined-S15.73
NODE_4414_length_15575_cov_12.581314	SPAdes-MetaBAT2Refined-S15.73
NODE_44675_length_1526_cov_13.311353	SPAdes-MetaBAT2Refined-S15.73
NODE_454_length_71616_cov_12.449491	SPAdes-MetaBAT2Refined-S15.73
NODE_4722_length_14696_cov_11.634178	SPAdes-MetaBAT2Refined-S15.73
NODE_510_length_67273_cov_11.521453	SPAdes-MetaBAT2Refined-S15.73
NODE_5204_length_13499_cov_11.781910	SPAdes-MetaBAT2Refined-S15.73
NODE_5660_length_12528_cov_12.336888	SPAdes-MetaBAT2Refined-S15.73
NODE_5669_length_12518_cov_14.550189	SPAdes-MetaBAT2Refined-S15.73
NODE_579_length_63782_cov_12.037315	SPAdes-MetaBAT2Refined-S15.73
NODE_5886_length_12052_cov_12.687755	SPAdes-MetaBAT2Refined-S15.73
NODE_603_length_62137_cov_12.073902	SPAdes-MetaBAT2Refined-S15.73
NODE_6041_length_11765_cov_12.580786	SPAdes-MetaBAT2Refined-S15.73
NODE_6099_length_11635_cov_23.822021	SPAdes-MetaBAT2Refined-S15.73
NODE_6221_length_11428_cov_12.556318	SPAdes-MetaBAT2Refined-S15.73
NODE_637_length_60803_cov_12.236995	SPAdes-MetaBAT2Refined-S15.73
NODE_6648_length_10674_cov_11.619550	SPAdes-MetaBAT2Refined-S15.73
NODE_6956_length_10179_cov_10.732418	SPAdes-MetaBAT2Refined-S15.73
NODE_697_length_57879_cov_12.021099	SPAdes-MetaBAT2Refined-S15.73
NODE_7321_length_9659_cov_12.812682	SPAdes-MetaBAT2Refined-S15.73
NODE_7437_length_9505_cov_13.731958	SPAdes-MetaBAT2Refined-S15.73
NODE_75_length_151507_cov_11.961400	SPAdes-MetaBAT2Refined-S15.73
NODE_767_length_54875_cov_11.682780	SPAdes-MetaBAT2Refined-S15.73
NODE_796_length_53572_cov_12.394660	SPAdes-MetaBAT2Refined-S15.73
NODE_801_length_53181_cov_12.164289	SPAdes-MetaBAT2Refined-S15.73
NODE_812_length_52658_cov_11.804897	SPAdes-MetaBAT2Refined-S15.73
NODE_8301_length_8411_cov_17.588080	SPAdes-MetaBAT2Refined-S15.73
NODE_8349_length_8359_cov_13.497592	SPAdes-MetaBAT2Refined-S15.73
NODE_845_length_51203_cov_12.331391	SPAdes-MetaBAT2Refined-S15.73
NODE_859_length_50795_cov_11.948364	SPAdes-MetaBAT2Refined-S15.73
NODE_9140_length_7512_cov_11.943543	SPAdes-MetaBAT2Refined-S15.73
NODE_9314_length_7358_cov_12.698754	SPAdes-MetaBAT2Refined-S15.73
NODE_9458_length_7224_cov_14.233784	SPAdes-MetaBAT2Refined-S15.73
NODE_946_length_47680_cov_12.116451	SPAdes-MetaBAT2Refined-S15.73
NODE_9483_length_7197_cov_13.844021	SPAdes-MetaBAT2Refined-S15.73
NODE_1018_length_45944_cov_20.670466	SPAdes-MetaBAT2Refined-S15.74
NODE_1034_length_45176_cov_20.946056	SPAdes-MetaBAT2Refined-S15.74
NODE_108_length_132380_cov_19.913652	SPAdes-MetaBAT2Refined-S15.74
NODE_11818_length_5578_cov_24.646207	SPAdes-MetaBAT2Refined-S15.74
NODE_11974_length_5492_cov_21.159095	SPAdes-MetaBAT2Refined-S15.74
NODE_1281_length_39401_cov_19.529533	SPAdes-MetaBAT2Refined-S15.74
NODE_12865_length_5064_cov_19.277301	SPAdes-MetaBAT2Refined-S15.74
NODE_1298_length_39137_cov_19.651221	SPAdes-MetaBAT2Refined-S15.74
NODE_1304_length_39010_cov_19.977230	SPAdes-MetaBAT2Refined-S15.74
NODE_13063_length_4980_cov_20.443655	SPAdes-MetaBAT2Refined-S15.74
NODE_13096_length_4965_cov_9.909776	SPAdes-MetaBAT2Refined-S15.74
NODE_1318_length_38579_cov_21.133968	SPAdes-MetaBAT2Refined-S15.74
NODE_13373_length_4853_cov_21.772405	SPAdes-MetaBAT2Refined-S15.74
NODE_1367_length_37540_cov_19.575110	SPAdes-MetaBAT2Refined-S15.74
NODE_13873_length_4649_cov_18.608185	SPAdes-MetaBAT2Refined-S15.74
NODE_1407_length_36841_cov_20.607704	SPAdes-MetaBAT2Refined-S15.74
NODE_14086_length_4567_cov_18.645390	SPAdes-MetaBAT2Refined-S15.74
NODE_14224_length_4512_cov_18.031411	SPAdes-MetaBAT2Refined-S15.74
NODE_14286_length_4489_cov_20.482860	SPAdes-MetaBAT2Refined-S15.74
NODE_14882_length_4282_cov_18.101727	SPAdes-MetaBAT2Refined-S15.74
NODE_1523_length_34670_cov_20.556204	SPAdes-MetaBAT2Refined-S15.74
NODE_15374_length_4140_cov_21.981151	SPAdes-MetaBAT2Refined-S15.74
NODE_16464_length_3855_cov_19.098684	SPAdes-MetaBAT2Refined-S15.74
NODE_16652_length_3807_cov_10.175107	SPAdes-MetaBAT2Refined-S15.74
NODE_1666_length_33117_cov_19.908717	SPAdes-MetaBAT2Refined-S15.74
NODE_18033_length_3506_cov_20.936250	SPAdes-MetaBAT2Refined-S15.74
NODE_1803_length_31343_cov_23.680037	SPAdes-MetaBAT2Refined-S15.74
NODE_18203_length_3472_cov_20.239977	SPAdes-MetaBAT2Refined-S15.74
NODE_18543_length_3407_cov_21.328162	SPAdes-MetaBAT2Refined-S15.74
NODE_19163_length_3303_cov_19.185345	SPAdes-MetaBAT2Refined-S15.74
NODE_2091_length_28086_cov_20.096001	SPAdes-MetaBAT2Refined-S15.74
NODE_2097_length_28023_cov_20.614273	SPAdes-MetaBAT2Refined-S15.74
NODE_21623_length_2943_cov_20.397507	SPAdes-MetaBAT2Refined-S15.74
NODE_22068_length_2891_cov_23.349083	SPAdes-MetaBAT2Refined-S15.74
NODE_2313_length_26111_cov_21.601090	SPAdes-MetaBAT2Refined-S15.74
NODE_2336_length_25932_cov_20.651660	SPAdes-MetaBAT2Refined-S15.74
NODE_23490_length_2731_cov_17.542601	SPAdes-MetaBAT2Refined-S15.74
NODE_2403_length_25383_cov_19.599613	SPAdes-MetaBAT2Refined-S15.74
NODE_2494_length_24684_cov_20.734013	SPAdes-MetaBAT2Refined-S15.74
NODE_25874_length_2499_cov_12.131751	SPAdes-MetaBAT2Refined-S15.74
NODE_260_length_92488_cov_20.276817	SPAdes-MetaBAT2Refined-S15.74
NODE_2616_length_23861_cov_20.326724	SPAdes-MetaBAT2Refined-S15.74
NODE_2718_length_23175_cov_20.012284	SPAdes-MetaBAT2Refined-S15.74
NODE_280_length_89362_cov_18.577245	SPAdes-MetaBAT2Refined-S15.74
NODE_2880_length_22281_cov_22.120580	SPAdes-MetaBAT2Refined-S15.74
NODE_300_length_86303_cov_20.237895	SPAdes-MetaBAT2Refined-S15.74
NODE_31179_length_2104_cov_18.315764	SPAdes-MetaBAT2Refined-S15.74
NODE_3125_length_20790_cov_19.735086	SPAdes-MetaBAT2Refined-S15.74
NODE_32713_length_2017_cov_18.195719	SPAdes-MetaBAT2Refined-S15.74
NODE_3336_length_19613_cov_20.164332	SPAdes-MetaBAT2Refined-S15.74
NODE_3444_length_19112_cov_19.595109	SPAdes-MetaBAT2Refined-S15.74
NODE_3459_length_19061_cov_19.449700	SPAdes-MetaBAT2Refined-S15.74
NODE_3490_length_18953_cov_20.533284	SPAdes-MetaBAT2Refined-S15.74
NODE_349_length_81192_cov_20.712955	SPAdes-MetaBAT2Refined-S15.74
NODE_3538_length_18783_cov_21.944575	SPAdes-MetaBAT2Refined-S15.74
NODE_3551_length_18741_cov_20.642031	SPAdes-MetaBAT2Refined-S15.74
NODE_37457_length_1784_cov_19.888375	SPAdes-MetaBAT2Refined-S15.74
NODE_3753_length_17933_cov_19.749748	SPAdes-MetaBAT2Refined-S15.74
NODE_37727_length_1773_cov_18.176368	SPAdes-MetaBAT2Refined-S15.74
NODE_3829_length_17623_cov_18.705772	SPAdes-MetaBAT2Refined-S15.74
NODE_3924_length_17209_cov_20.717384	SPAdes-MetaBAT2Refined-S15.74
NODE_4032_length_16869_cov_22.168431	SPAdes-MetaBAT2Refined-S15.74
NODE_4127_length_16566_cov_18.431652	SPAdes-MetaBAT2Refined-S15.74
NODE_4231_length_16179_cov_19.985425	SPAdes-MetaBAT2Refined-S15.74
NODE_4418_length_15552_cov_18.656966	SPAdes-MetaBAT2Refined-S15.74
NODE_4453_length_15436_cov_21.257395	SPAdes-MetaBAT2Refined-S15.74
NODE_4566_length_15170_cov_20.919285	SPAdes-MetaBAT2Refined-S15.74
NODE_4633_length_14979_cov_19.337577	SPAdes-MetaBAT2Refined-S15.74
NODE_468_length_70782_cov_20.027345	SPAdes-MetaBAT2Refined-S15.74
NODE_4846_length_14348_cov_20.946477	SPAdes-MetaBAT2Refined-S15.74
NODE_4910_length_14169_cov_9.925464	SPAdes-MetaBAT2Refined-S15.74
NODE_5199_length_13512_cov_21.388199	SPAdes-MetaBAT2Refined-S15.74
NODE_528_length_66363_cov_19.683175	SPAdes-MetaBAT2Refined-S15.74
NODE_536_length_65773_cov_19.786284	SPAdes-MetaBAT2Refined-S15.74
NODE_5465_length_12890_cov_22.056798	SPAdes-MetaBAT2Refined-S15.74
NODE_5517_length_12784_cov_18.477649	SPAdes-MetaBAT2Refined-S15.74
NODE_5539_length_12748_cov_19.047270	SPAdes-MetaBAT2Refined-S15.74
NODE_5556_length_12715_cov_22.014771	SPAdes-MetaBAT2Refined-S15.74
NODE_5705_length_12443_cov_21.325961	SPAdes-MetaBAT2Refined-S15.74
NODE_6082_length_11667_cov_6.110834	SPAdes-MetaBAT2Refined-S15.74
NODE_6410_length_11080_cov_21.080635	SPAdes-MetaBAT2Refined-S15.74
NODE_6553_length_10807_cov_20.685175	SPAdes-MetaBAT2Refined-S15.74
NODE_668_length_59415_cov_19.692739	SPAdes-MetaBAT2Refined-S15.74
NODE_671_length_59300_cov_20.431007	SPAdes-MetaBAT2Refined-S15.74
NODE_7462_length_9471_cov_20.403462	SPAdes-MetaBAT2Refined-S15.74
NODE_7782_length_9036_cov_20.190068	SPAdes-MetaBAT2Refined-S15.74
NODE_8070_length_8677_cov_18.762352	SPAdes-MetaBAT2Refined-S15.74
NODE_8142_length_8591_cov_21.829663	SPAdes-MetaBAT2Refined-S15.74
NODE_814_length_52607_cov_19.663210	SPAdes-MetaBAT2Refined-S15.74
NODE_841_length_51296_cov_19.580668	SPAdes-MetaBAT2Refined-S15.74
NODE_8488_length_8195_cov_16.986732	SPAdes-MetaBAT2Refined-S15.74
NODE_8875_length_7782_cov_3.959881	SPAdes-MetaBAT2Refined-S15.74
NODE_9147_length_7503_cov_17.434076	SPAdes-MetaBAT2Refined-S15.74
NODE_923_length_48526_cov_21.058984	SPAdes-MetaBAT2Refined-S15.74
NODE_9537_length_7153_cov_16.665399	SPAdes-MetaBAT2Refined-S15.74
NODE_9734_length_6989_cov_18.254254	SPAdes-MetaBAT2Refined-S15.74
NODE_9792_length_6939_cov_18.775421	SPAdes-MetaBAT2Refined-S15.74
NODE_992_length_46520_cov_19.518648	SPAdes-MetaBAT2Refined-S15.74
NODE_117_length_127184_cov_62.054960	SPAdes-MetaBAT2Refined-S15.13
NODE_130_length_122944_cov_60.867254	SPAdes-MetaBAT2Refined-S15.13
NODE_131_length_122725_cov_62.266218	SPAdes-MetaBAT2Refined-S15.13
NODE_135_length_122465_cov_62.940642	SPAdes-MetaBAT2Refined-S15.13
NODE_173_length_112116_cov_60.586707	SPAdes-MetaBAT2Refined-S15.13
NODE_1_length_532908_cov_62.093654	SPAdes-MetaBAT2Refined-S15.13
NODE_24203_length_2659_cov_76.188556	SPAdes-MetaBAT2Refined-S15.13
NODE_2_length_444148_cov_61.133267	SPAdes-MetaBAT2Refined-S15.13
NODE_354_length_80511_cov_61.563563	SPAdes-MetaBAT2Refined-S15.13
NODE_388_length_77321_cov_60.854283	SPAdes-MetaBAT2Refined-S15.13
NODE_53_length_166866_cov_61.791477	SPAdes-MetaBAT2Refined-S15.13
NODE_596_length_62755_cov_60.970845	SPAdes-MetaBAT2Refined-S15.13
NODE_62_length_157812_cov_63.574745	SPAdes-MetaBAT2Refined-S15.13
NODE_666_length_59430_cov_62.975444	SPAdes-MetaBAT2Refined-S15.13
NODE_70_length_154683_cov_62.316036	SPAdes-MetaBAT2Refined-S15.13
NODE_79_length_149886_cov_62.352504	SPAdes-MetaBAT2Refined-S15.13
NODE_842_length_51268_cov_63.664792	SPAdes-MetaBAT2Refined-S15.13
NODE_910_length_48908_cov_62.196058	SPAdes-MetaBAT2Refined-S15.13
NODE_1021_length_45776_cov_225.127250	SPAdes-MetaBAT2Refined-S15.19
NODE_12803_length_5095_cov_221.435714	SPAdes-MetaBAT2Refined-S15.19
NODE_1283_length_39378_cov_232.868143	SPAdes-MetaBAT2Refined-S15.19
NODE_1350_length_37958_cov_234.486505	SPAdes-MetaBAT2Refined-S15.19
NODE_1373_length_37440_cov_231.100548	SPAdes-MetaBAT2Refined-S15.19
NODE_1385_length_37200_cov_231.202881	SPAdes-MetaBAT2Refined-S15.19
NODE_1595_length_33790_cov_233.054898	SPAdes-MetaBAT2Refined-S15.19
NODE_1619_length_33637_cov_230.711989	SPAdes-MetaBAT2Refined-S15.19
NODE_176_length_111030_cov_224.544249	SPAdes-MetaBAT2Refined-S15.19
NODE_19718_length_3213_cov_5.119063	SPAdes-MetaBAT2Refined-S15.19
NODE_2139_length_27675_cov_235.760572	SPAdes-MetaBAT2Refined-S15.19
NODE_2190_length_27216_cov_237.901035	SPAdes-MetaBAT2Refined-S15.19
NODE_2235_length_26796_cov_236.413485	SPAdes-MetaBAT2Refined-S15.19
NODE_24237_length_2656_cov_198.019992	SPAdes-MetaBAT2Refined-S15.19
NODE_24903_length_2588_cov_3.547177	SPAdes-MetaBAT2Refined-S15.19
NODE_26529_length_2439_cov_3.553272	SPAdes-MetaBAT2Refined-S15.19
NODE_2685_length_23404_cov_235.264251	SPAdes-MetaBAT2Refined-S15.19
NODE_2732_length_23131_cov_231.283281	SPAdes-MetaBAT2Refined-S15.19
NODE_2767_length_22950_cov_236.056257	SPAdes-MetaBAT2Refined-S15.19
NODE_2783_length_22881_cov_265.620871	SPAdes-MetaBAT2Refined-S15.19
NODE_2874_length_22365_cov_227.786732	SPAdes-MetaBAT2Refined-S15.19
NODE_28794_length_2260_cov_240.760091	SPAdes-MetaBAT2Refined-S15.19
NODE_3060_length_21209_cov_236.334027	SPAdes-MetaBAT2Refined-S15.19
NODE_33149_length_1992_cov_6.392359	SPAdes-MetaBAT2Refined-S15.19
NODE_35259_length_1883_cov_3.177243	SPAdes-MetaBAT2Refined-S15.19
NODE_37541_length_1782_cov_3.354372	SPAdes-MetaBAT2Refined-S15.19
NODE_38079_length_1760_cov_3.120235	SPAdes-MetaBAT2Refined-S15.19
NODE_3_length_442353_cov_235.706589	SPAdes-MetaBAT2Refined-S15.19
NODE_40774_length_1655_cov_4.181875	SPAdes-MetaBAT2Refined-S15.19
NODE_414_length_75002_cov_234.328299	SPAdes-MetaBAT2Refined-S15.19
NODE_41592_length_1628_cov_3.041958	SPAdes-MetaBAT2Refined-S15.19
NODE_41_length_177261_cov_235.144950	SPAdes-MetaBAT2Refined-S15.19
NODE_43208_length_1571_cov_4.082454	SPAdes-MetaBAT2Refined-S15.19
NODE_45524_length_1502_cov_3.241880	SPAdes-MetaBAT2Refined-S15.19
NODE_5688_length_12478_cov_238.834018	SPAdes-MetaBAT2Refined-S15.19
NODE_5_length_335267_cov_237.729016	SPAdes-MetaBAT2Refined-S15.19
NODE_641_length_60674_cov_231.741979	SPAdes-MetaBAT2Refined-S15.19
NODE_6464_length_10973_cov_235.725499	SPAdes-MetaBAT2Refined-S15.19
NODE_6695_length_10582_cov_56.011114	SPAdes-MetaBAT2Refined-S15.19
NODE_691_length_58213_cov_235.354483	SPAdes-MetaBAT2Refined-S15.19
NODE_702_length_57690_cov_227.008727	SPAdes-MetaBAT2Refined-S15.19
NODE_707_length_57371_cov_236.244522	SPAdes-MetaBAT2Refined-S15.19
NODE_7878_length_8920_cov_245.507276	SPAdes-MetaBAT2Refined-S15.19
NODE_857_length_50798_cov_225.509095	SPAdes-MetaBAT2Refined-S15.19
NODE_9171_length_7479_cov_230.227371	SPAdes-MetaBAT2Refined-S15.19
NODE_1004_length_46260_cov_10.318472	SPAdes-MetaBAT2Refined-S15.46
NODE_10081_length_6716_cov_10.370365	SPAdes-MetaBAT2Refined-S15.46
NODE_10205_length_6634_cov_18.123575	SPAdes-MetaBAT2Refined-S15.46
NODE_10225_length_6619_cov_10.059567	SPAdes-MetaBAT2Refined-S15.46
NODE_10395_length_6491_cov_9.197172	SPAdes-MetaBAT2Refined-S15.46
NODE_1044_length_44941_cov_9.745934	SPAdes-MetaBAT2Refined-S15.46
NODE_1137_length_42473_cov_10.386723	SPAdes-MetaBAT2Refined-S15.46
NODE_11403_length_5819_cov_10.303088	SPAdes-MetaBAT2Refined-S15.46
NODE_1177_length_41523_cov_9.812675	SPAdes-MetaBAT2Refined-S15.46
NODE_1197_length_41192_cov_10.060943	SPAdes-MetaBAT2Refined-S15.46
NODE_1217_length_40670_cov_9.203349	SPAdes-MetaBAT2Refined-S15.46
NODE_1225_length_40518_cov_9.472901	SPAdes-MetaBAT2Refined-S15.46
NODE_12885_length_5058_cov_9.484509	SPAdes-MetaBAT2Refined-S15.46
NODE_1349_length_37964_cov_9.583186	SPAdes-MetaBAT2Refined-S15.46
NODE_13680_length_4724_cov_11.248447	SPAdes-MetaBAT2Refined-S15.46
NODE_13699_length_4712_cov_8.602749	SPAdes-MetaBAT2Refined-S15.46
NODE_1371_length_37469_cov_10.107928	SPAdes-MetaBAT2Refined-S15.46
NODE_1381_length_37344_cov_10.430985	SPAdes-MetaBAT2Refined-S15.46
NODE_14963_length_4259_cov_10.679829	SPAdes-MetaBAT2Refined-S15.46
NODE_14_length_244418_cov_9.624931	SPAdes-MetaBAT2Refined-S15.46
NODE_15022_length_4239_cov_12.018403	SPAdes-MetaBAT2Refined-S15.46
NODE_1506_length_34897_cov_10.345703	SPAdes-MetaBAT2Refined-S15.46
NODE_15934_length_3991_cov_56.497967	SPAdes-MetaBAT2Refined-S15.46
NODE_1593_length_33795_cov_10.254653	SPAdes-MetaBAT2Refined-S15.46
NODE_1594_length_33794_cov_10.131480	SPAdes-MetaBAT2Refined-S15.46
NODE_1710_length_32485_cov_9.605242	SPAdes-MetaBAT2Refined-S15.46
NODE_17234_length_3676_cov_8.443524	SPAdes-MetaBAT2Refined-S15.46
NODE_17584_length_3597_cov_5.099379	SPAdes-MetaBAT2Refined-S15.46
NODE_18180_length_3478_cov_4.067193	SPAdes-MetaBAT2Refined-S15.46
NODE_18795_length_3362_cov_21.002721	SPAdes-MetaBAT2Refined-S15.46
NODE_187_length_107923_cov_9.825657	SPAdes-MetaBAT2Refined-S15.46
NODE_2024_length_28609_cov_10.508545	SPAdes-MetaBAT2Refined-S15.46
